block_targets,complete_compounds,predictor,target_pairs,positive_pairs,positive_fraction,continuous_spearman,roc_auc,average_precision,precision_at_positive_count
ADRA1A|DRD2|HTR1A|HTR2A|HTR3A,20,residual_docking,10,2,0.2,-0.29696969696969694,0.375,0.26666666666666666,0.0
ADRA1A|DRD2|HTR1A|HTR2A|HTR3A,20,full_sequence_identity,10,2,0.2,0.309090909090909,0.875,0.5833333333333333,0.5
ADRA1A|DRD2|HTR1A|HTR2A|HTR3A,20,equal_rank_sequence_family_residual,10,2,0.2,0.21341860166168644,0.71875,0.3666666666666667,0.5
ADRA1A|HRH1|HTR1A|HTR2A|HTR3A,20,raw_docking,10,2,0.2,-0.07878787878787878,0.375,0.2361111111111111,0.0
ADRA1A|HRH1|HTR1A|HTR2A|HTR3A,20,residual_docking,10,2,0.2,0.5272727272727272,0.5625,0.30952380952380953,0.0
ADRA1A|HRH1|HTR1A|HTR2A|HTR3A,20,full_sequence_identity,10,2,0.2,-0.24848484848484845,0.4375,0.2777777777777778,0.0
ADRA1A|HRH1|HTR1A|HTR2A|HTR3A,20,equal_rank_sequence_family_residual,10,2,0.2,0.1834939608543934,0.46875,0.35,0.5
ADRA1A|HTR1A|HTR1B|HTR2A|HTR2B,21,raw_docking,10,2,0.2,0.29696969696969694,0.625,0.39285714285714285,0.5
ADRA1A|HTR1A|HTR1B|HTR2A|HTR2B,21,residual_docking,10,2,0.2,0.4545454545454545,0.75,0.41666666666666663,0.0
ADRA1A|HTR1A|HTR1B|HTR2A|HTR2B,21,full_sequence_identity,10,2,0.2,-0.10303030303030303,0.3125,0.20833333333333331,0.0
ADRA1A|HTR1A|HTR1B|HTR2A|HTR2B,21,equal_rank_sequence_family_residual,10,2,0.2,0.34971957790971375,0.5,0.2777777777777778,0.0
ADRA2A|CHRM1|CHRM2|DRD2|HRH1,20,raw_docking,10,2,0.2,-0.2727272727272727,0.1875,0.18253968253968253,0.0
ADRA2A|CHRM1|CHRM2|DRD2|HRH1,20,residual_docking,10,2,0.2,0.41818181818181815,0.8125,0.7,0.5
ADRA2A|CHRM1|CHRM2|DRD2|HRH1,20,full_sequence_identity,10,2,0.2,0.7212121212121211,0.875,0.75,0.5
ADRA2A|CHRM1|CHRM2|DRD2|HRH1,20,equal_rank_sequence_family_residual,10,2,0.2,0.6808542089216724,0.9375,0.8333333333333333,0.5
ADRA2A|CHRM1|CHRM2|DRD2|HTR1A,20,raw_docking,10,2,0.2,-0.06666666666666665,0.625,0.625,0.5
ADRA2A|CHRM1|CHRM2|DRD2|HTR1A,20,residual_docking,10,2,0.2,0.23636363636363633,0.875,0.75,0.5
ADRA2A|CHRM1|CHRM2|DRD2|HTR1A,20,full_sequence_identity,10,2,0.2,0.5393939393939393,1.0,1.0,1.0
