omitted_target,panel,metric,selected_threshold_after_deletion,augmented_minus_baseline
MAPK14,DAVIS,top_15_roc_auc,0.6,0.03925729442970827
MAPK14,DAVIS,top_15_average_precision,0.6,0.04608906860629841
MAPK14,PKIS2,continuous_spearman,0.6,0.019255045959632344
MAPK14,PKIS2,top_5_roc_auc,0.6,0.03978052126200271
MAPK14,PKIS2,top_5_average_precision,0.6,0.029168135388584232
MAPK14,PKIS2,top_10_roc_auc,0.6,0.02251270878721856
MAPK14,PKIS2,top_10_average_precision,0.6,0.018615133824205127
MAPK14,PKIS2,top_15_roc_auc,0.6,0.03023872679045092
MAPK14,PKIS2,top_15_average_precision,0.6,0.042361495920527736
MAPK14,KiRHub,continuous_spearman,0.6,0.029442964456284415
MAPK14,KiRHub,top_5_roc_auc,0.6,0.030178326474622708
MAPK14,KiRHub,top_5_average_precision,0.6,0.019609971567496415
MAPK14,KiRHub,top_10_roc_auc,0.6,0.030501089324618813
MAPK14,KiRHub,top_10_average_precision,0.6,0.05116782356772842
MAPK14,KiRHub,top_15_roc_auc,0.6,0.03342175066313002
MAPK14,KiRHub,top_15_average_precision,0.6,0.0447585168117105
MAPKAPK2,DAVIS,continuous_spearman,0.6,0.026241390068879433
MAPKAPK2,DAVIS,top_5_roc_auc,0.6,0.01714677640603557
MAPKAPK2,DAVIS,top_5_average_precision,0.6,0.02968529807286585
MAPKAPK2,DAVIS,top_10_roc_auc,0.6,0.028322440087146017
MAPKAPK2,DAVIS,top_10_average_precision,0.6,0.030161044377016305
MAPKAPK2,DAVIS,top_15_roc_auc,0.6,0.022015915119363405
MAPKAPK2,DAVIS,top_15_average_precision,0.6,0.023583850935978923
MAPKAPK2,PKIS2,continuous_spearman,0.6,0.017162262701898412
MAPKAPK2,PKIS2,top_5_roc_auc,0.6,0.02537722908093276
MAPKAPK2,PKIS2,top_5_average_precision,0.6,0.02171717667962972
MAPKAPK2,PKIS2,top_10_roc_auc,0.6,0.021060275962236696
MAPKAPK2,PKIS2,top_10_average_precision,0.6,0.017918284142186908
MAPKAPK2,PKIS2,top_15_roc_auc,0.6,0.019363395225464153
MAPKAPK2,PKIS2,top_15_average_precision,0.6,0.02205273773026062
MAPKAPK2,KiRHub,continuous_spearman,0.6,0.023781409748722004
MAPKAPK2,KiRHub,top_5_roc_auc,0.6,0.0185185185185186
MAPKAPK2,KiRHub,top_5_average_precision,0.6,0.02503190616457196
MAPKAPK2,KiRHub,top_10_roc_auc,0.6,0.020697167755991286
MAPKAPK2,KiRHub,top_10_average_precision,0.6,0.028748223545900564
MAPKAPK2,KiRHub,top_15_roc_auc,0.6,0.024933687002652527
MAPKAPK2,KiRHub,top_15_average_precision,0.6,0.02641797012870989
MET,DAVIS,continuous_spearman,0.55,0.01581347349221207
MET,DAVIS,top_5_roc_auc,0.55,0.01714677640603568
MET,DAVIS,top_5_average_precision,0.55,0.015232685950406999
MET,DAVIS,top_10_roc_auc,0.55,0.017066085693536737
MET,DAVIS,top_10_average_precision,0.55,0.01605431491949566
MET,DAVIS,top_15_roc_auc,0.55,0.018302387267904563
MET,DAVIS,top_15_average_precision,0.55,0.01581922058807489
MET,PKIS2,continuous_spearman,0.55,0.007490340077279334
MET,PKIS2,top_5_roc_auc,0.55,0.011659807956104218
MET,PKIS2,top_5_average_precision,0.55,0.007137373377782585
MET,PKIS2,top_10_roc_auc,0.55,0.009440813362382006
MET,PKIS2,top_10_average_precision,0.55,0.006029715466637886
MET,PKIS2,top_15_roc_auc,0.55,0.010344827586206917
MET,PKIS2,top_15_average_precision,0.55,0.011098726928260305
MET,KiRHub,continuous_spearman,0.55,0.014025487796097635
MET,KiRHub,top_5_roc_auc,0.55,0.010288065843621297
MET,KiRHub,top_5_average_precision,0.55,0.005828221904276232
MET,KiRHub,top_10_roc_auc,0.55,0.013071895424836555
MET,KiRHub,top_10_average_precision,0.55,0.016936098156632495
MET,KiRHub,top_15_roc_auc,0.55,0.01564986737400531
MET,KiRHub,top_15_average_precision,0.55,0.017956329999223142
PLK1,DAVIS,continuous_spearman,0.55,0.033426932584539326
PLK1,DAVIS,top_5_roc_auc,0.55,0.03703703703703709
PLK1,DAVIS,top_5_average_precision,0.55,0.04404655358744314
PLK1,DAVIS,top_10_roc_auc,0.55,0.04175744371822798
PLK1,DAVIS,top_10_average_precision,0.55,0.05520422063319902
PLK1,DAVIS,top_15_roc_auc,0.55,0.04217506631299739
PLK1,DAVIS,top_15_average_precision,0.55,0.04627608140909095
PLK1,PKIS2,continuous_spearman,0.55,0.018256653946768397
PLK1,PKIS2,top_5_roc_auc,0.55,0.03703703703703709
PLK1,PKIS2,top_5_average_precision,0.55,0.030364966366083213
PLK1,PKIS2,top_10_roc_auc,0.55,0.025054466230936878
PLK1,PKIS2,top_10_average_precision,0.55,0.02191142616278724
PLK1,PKIS2,top_15_roc_auc,0.55,0.02970822281167107
PLK1,PKIS2,top_15_average_precision,0.55,0.03962127377499591
PLK1,KiRHub,continuous_spearman,0.55,0.030426956584347353
PLK1,KiRHub,top_5_roc_auc,0.55,0.03292181069958844
PLK1,KiRHub,top_5_average_precision,0.55,0.04919172765506946
PLK1,KiRHub,top_10_roc_auc,0.55,0.03667392883079157
PLK1,KiRHub,top_10_average_precision,0.55,0.05307304721927303
PLK1,KiRHub,top_15_roc_auc,0.55,0.037135278514588865
PLK1,KiRHub,top_15_average_precision,0.55,0.047732642476856824
ROCK1,DAVIS,continuous_spearman,0.6,0.02288621691026471
ROCK1,DAVIS,top_5_roc_auc,0.6,0.028806584362139898
ROCK1,DAVIS,top_5_average_precision,0.6,0.04230128985030948
ROCK1,DAVIS,top_10_roc_auc,0.6,0.027233115468409563
ROCK1,DAVIS,top_10_average_precision,0.6,0.02793958154569634
ROCK1,DAVIS,top_15_roc_auc,0.6,0.023342175066312976
ROCK1,DAVIS,top_15_average_precision,0.6,0.022694592919179357
ROCK1,PKIS2,continuous_spearman,0.6,0.015609475124198968
ROCK1,PKIS2,top_5_roc_auc,0.6,0.03292181069958844
ROCK1,PKIS2,top_5_average_precision,0.6,0.015964605399790555
ROCK1,PKIS2,top_10_roc_auc,0.6,0.016339869281045694
ROCK1,PKIS2,top_10_average_precision,0.6,0.010225163698977996
ROCK1,PKIS2,top_15_roc_auc,0.6,0.021485411140583555
ROCK1,PKIS2,top_15_average_precision,0.6,0.022583180059339736
ROCK1,KiRHub,continuous_spearman,0.6,0.022463820289437664
ROCK1,KiRHub,top_5_roc_auc,0.6,0.02263374485596714
ROCK1,KiRHub,top_5_average_precision,0.6,0.015821746355530686
ROCK1,KiRHub,top_10_roc_auc,0.6,0.028322440087145906
ROCK1,KiRHub,top_10_average_precision,0.6,0.029916741607479258
ROCK1,KiRHub,top_15_roc_auc,0.6,0.0305039787798409
