target_a,target_b,klifs_pocket_identity,ungated_locked_mean_absolute_error_gain,pocket_identity_quartile
KDR,SRC,0.3647058823529411,-0.008074871155136979,Q2
KIT,LCK,0.4941176470588235,-0.0069307662871297415,Q4_highest
KIT,MAP2K1,0.3529411764705882,-0.005137375666676269,Q2
KIT,MAPK1,0.3764705882352941,0.00023764796460601367,Q3
KIT,MAPK14,0.388235294117647,0.00033136497025454403,Q3
KIT,MAPKAPK2,0.3411764705882353,-0.0009258904281170821,Q2
KIT,MET,0.4823529411764706,-0.004105718029738433,Q4_highest
KIT,PLK1,0.3764705882352941,-0.00041809202204273754,Q3
KIT,ROCK1,0.3647058823529411,-0.0016969886878462255,Q2
KIT,SRC,0.4470588235294118,-0.01243952484590144,Q3
LCK,MAP2K1,0.3529411764705882,-0.004320657042973797,Q2
LCK,MAPK1,0.3647058823529411,0.00398084397874654,Q2
LCK,MAPK14,0.388235294117647,0.0073158074246093,Q3
LCK,MAPKAPK2,0.3176470588235294,-0.009848972090955421,Q1_lowest
LCK,MET,0.4,0.02123495204328596,Q3
LCK,PLK1,0.3058823529411765,-0.014600881827363854,Q1_lowest
LCK,ROCK1,0.3764705882352941,-0.020992181850245057,Q3
LCK,SRC,0.7058823529411765,0.02390158147253485,Q4_highest
MAP2K1,MAPK1,0.3529411764705882,-0.004624233162824343,Q2
MAP2K1,MAPK14,0.3176470588235294,0.0018312182354029982,Q1_lowest
MAP2K1,MAPKAPK2,0.3764705882352941,-0.0029535193453427144,Q3
MAP2K1,MET,0.2470588235294117,-0.004101367003523519,Q1_lowest
MAP2K1,PLK1,0.2705882352941176,0.0027034948328820882,Q1_lowest
MAP2K1,ROCK1,0.3529411764705882,0.006145326772894884,Q2
MAP2K1,SRC,0.3647058823529411,0.017533101137362894,Q2
MAPK1,MAPK14,0.5882352941176471,-0.009690775244645178,Q4_highest
MAPK1,MAPKAPK2,0.3647058823529411,0.008641275143918437,Q2
MAPK1,MET,0.3529411764705882,0.011035389575406951,Q2
MAPK1,PLK1,0.3529411764705882,0.01046234365116172,Q2
MAPK1,ROCK1,0.3529411764705882,-0.0037404281415853724,Q2
