null_repetition,panel,fixed_experimental_endpoint,raw_docking_concordance,centered_docking_concordance,centered_minus_raw_docking
23,PKIS1,two_way_centered_experimental_target_geometry,0.11163423392687653,0.08031334881706885,-0.031320885109807683
23,KiRHub,raw_experimental_target_geometry,0.04316288102455091,0.06193406727989259,0.01877118625534168
23,KiRHub,two_way_centered_experimental_target_geometry,0.0989060784596745,0.08152230488962373,-0.017383773570050776
24,DAVIS,raw_experimental_target_geometry,0.03257620491018122,0.07838531756966588,0.04580911265948466
24,DAVIS,two_way_centered_experimental_target_geometry,0.08134734742615703,0.10335349718099789,0.02200614975484086
24,PKIS2,raw_experimental_target_geometry,0.07114907688068339,0.0016507236678082644,-0.06949835321287513
24,PKIS2,two_way_centered_experimental_target_geometry,0.07721660171370837,0.07236328167714225,-0.004853320036566119
24,PKIS1,raw_experimental_target_geometry,-0.0008231748656107985,0.01957336622533647,0.020396541090947268
24,PKIS1,two_way_centered_experimental_target_geometry,0.06594759149181856,0.06076885057320441,-0.005178740918614151
24,KiRHub,raw_experimental_target_geometry,0.09144414264281998,0.07819461393448718,-0.013249528708332806
24,KiRHub,two_way_centered_experimental_target_geometry,0.09771986685737032,0.09370109392154034,-0.004018772935829973
25,DAVIS,raw_experimental_target_geometry,0.009425833344268176,0.03465819872543488,0.025232365381166702
25,DAVIS,two_way_centered_experimental_target_geometry,0.058860064646782756,0.07096537154404335,0.012105306897260595
25,PKIS2,raw_experimental_target_geometry,0.041915434310033375,-0.058392928219326685,-0.10030836252936007
25,PKIS2,two_way_centered_experimental_target_geometry,0.10791638782820927,0.06967243588902448,-0.038243951939184784
25,PKIS1,raw_experimental_target_geometry,0.0516745616222056,0.026011800880910832,-0.02566276074129477
25,PKIS1,two_way_centered_experimental_target_geometry,0.08663281239748587,0.05447213146303805,-0.032160680934447815
25,KiRHub,raw_experimental_target_geometry,0.055129971525672825,0.09194102183906537,0.036811050313392546
25,KiRHub,two_way_centered_experimental_target_geometry,0.09563962261675132,0.07927935020798069,-0.016360272408770637
26,DAVIS,raw_experimental_target_geometry,-0.038358549077755474,-0.028497946436772562,0.009860602640982912
26,DAVIS,two_way_centered_experimental_target_geometry,-0.06606481299234125,-0.030146045742628826,0.03591876724971242
26,PKIS2,raw_experimental_target_geometry,-0.050330888302781394,-0.12116066781263807,-0.07082977950985667
26,PKIS2,two_way_centered_experimental_target_geometry,-0.06443071028356231,-0.03799288797911009,0.026437822304452227
26,PKIS1,raw_experimental_target_geometry,-0.06552069528095983,-0.0722285644302729,-0.006707869149313067
26,PKIS1,two_way_centered_experimental_target_geometry,-0.06228748135609531,-0.03008131148114615,0.03220616987494916
26,KiRHub,raw_experimental_target_geometry,-0.057560130693225214,-0.034472743814160184,0.02308738687906503
26,KiRHub,two_way_centered_experimental_target_geometry,-0.06947473395530712,-0.04916742117072787,0.02030731278457925
27,DAVIS,raw_experimental_target_geometry,0.052309657214589717,0.022944796546339675,-0.02936486066825004
27,DAVIS,two_way_centered_experimental_target_geometry,-0.08865707024979554,-0.03396011844620277,0.05469695180359277
27,PKIS2,raw_experimental_target_geometry,0.0733762853906144,-0.0341333263350348,-0.1075096117256492
27,PKIS2,two_way_centered_experimental_target_geometry,-0.051573086293394924,-0.021328189583907416,0.030244896709487507
27,PKIS1,raw_experimental_target_geometry,0.07812813009836983,0.006708743936630407,-0.07141938616173943
27,PKIS1,two_way_centered_experimental_target_geometry,-0.0688991239005017,-0.023284214025465058,0.045614909875036636
27,KiRHub,raw_experimental_target_geometry,0.08000192453209815,0.012807761113079384,-0.06719416341901877
