sampling_scheme,repetition,sample_size,metric,DAVIS_augmented_minus_baseline,PKIS2_augmented_minus_baseline,KiRHub_augmented_minus_baseline,mean_locked_delta,minimum_locked_panel_delta,positive_on_every_locked_panel
uniform_random,185,360,top_10_roc_auc,0.1157279162819328,0.12496152662357651,0.13111726685133884,0.12393556991894938,0.1157279162819328,True
uniform_random,185,360,top_10_average_precision,0.09150416230618391,0.07791047465532819,0.09683264607456388,0.08874909434535866,0.07791047465532819,True
uniform_random,186,10,continuous_spearman,0.21347434904888749,0.20785121617306793,0.1381779054967261,0.18650115690622715,0.1381779054967261,True
uniform_random,186,10,top_10_roc_auc,0.10557094490612495,0.13911972914742998,0.028931979070483282,0.09120755104134608,0.028931979070483282,True
uniform_random,186,10,top_10_average_precision,0.06470128842444639,0.07599655662813193,0.02456995653322136,0.05508926719526656,0.02456995653322136,True
uniform_random,186,20,continuous_spearman,0.22266136545552365,0.23135675138981837,0.13471374772008554,0.19624395485514254,0.13471374772008554,True
uniform_random,186,20,top_10_roc_auc,0.11080332409972293,0.08402585410895658,0.09295167743921207,0.09592695188263052,0.08402585410895658,True
uniform_random,186,20,top_10_average_precision,0.17111677419694427,0.07793500637811562,0.15721755296605422,0.13542311118037137,0.07793500637811562,True
uniform_random,186,40,continuous_spearman,0.2043503173290994,0.24593245767122868,0.11592156656912789,0.18873478052315198,0.11592156656912789,True
uniform_random,186,40,top_10_roc_auc,0.1305016928285626,0.17543859649122806,0.10926438904278235,0.138401559454191,0.10926438904278235,True
uniform_random,186,40,top_10_average_precision,0.15283111384097106,0.11978219708587269,0.1304292410141672,0.1343475173136703,0.11978219708587269,True
uniform_random,186,80,continuous_spearman,0.1312565882419837,0.18086402743333027,0.06912219466642172,0.12708093678057855,0.06912219466642172,True
uniform_random,186,80,top_10_roc_auc,0.11111111111111116,0.11972914742997853,0.10649430594028941,0.11244485482712636,0.10649430594028941,True
uniform_random,186,80,top_10_average_precision,0.17946015230519952,0.1007886684078116,0.16655296513713946,0.14893392861671687,0.1007886684078116,True
uniform_random,186,160,continuous_spearman,0.11903231026956573,0.15529224457303814,0.0551500916339715,0.10982488215885845,0.0551500916339715,True
uniform_random,186,160,top_10_roc_auc,0.09110495537088337,0.13481071098799635,0.0824869190520161,0.10280086180363195,0.0824869190520161,True
uniform_random,186,160,top_10_average_precision,0.10086507614201637,0.10026608801246446,0.08600458447625192,0.09571191621024426,0.08600458447625192,True
uniform_random,186,360,continuous_spearman,0.21442261850087696,0.23629755015811782,0.14194299011052935,0.19755438625650804,0.14194299011052935,True
uniform_random,186,360,top_10_roc_auc,0.1157279162819328,0.12496152662357651,0.13111726685133884,0.12393556991894938,0.1157279162819328,True
uniform_random,186,360,top_10_average_precision,0.09150416230618391,0.07791047465532819,0.09683264607456388,0.08874909434535866,0.07791047465532819,True
uniform_random,187,10,continuous_spearman,0.19389485931232966,0.25278554151521915,0.1689494241712484,0.20520994166626572,0.1689494241712484,True
uniform_random,187,10,top_10_roc_auc,0.16189596799015082,0.16866728224068944,0.13234841489689142,0.15430388837591055,0.13234841489689142,True
uniform_random,187,10,top_10_average_precision,0.06702516307099762,0.04664243387038805,0.13197113786171435,0.08187957826770001,0.04664243387038805,True
uniform_random,187,20,continuous_spearman,0.12793414601075112,0.17117313353191008,0.07612224277972418,0.12507650744079513,0.07612224277972418,True
uniform_random,187,20,top_10_roc_auc,0.1942136041859034,0.19052016004924588,0.15081563558017852,0.17851646660510925,0.15081563558017852,True
uniform_random,187,20,top_10_average_precision,0.09564947997997342,0.0641358563445,0.05978024103058452,0.07318852578501932,0.05978024103058452,True
uniform_random,187,40,continuous_spearman,0.05733181120340114,0.09015033220048377,0.011436969386817819,0.05297303759690091,0.011436969386817819,True
uniform_random,187,40,top_10_roc_auc,0.11418898122499221,0.18282548476454297,0.09079716835949525,0.12927054478301014,0.09079716835949525,True
uniform_random,187,40,top_10_average_precision,0.06793483002844447,0.08476166821880585,0.04382042893883625,0.06550564239536219,0.04382042893883625,True
uniform_random,187,80,continuous_spearman,0.1058790081661396,0.11844795234158695,0.08381337287372004,0.1027134444604822,0.08381337287372004,True
uniform_random,187,80,top_10_roc_auc,0.08464142813173281,0.04401354262850099,0.10957217605417047,0.07940904893813476,0.04401354262850099,True
uniform_random,187,80,top_10_average_precision,0.037518358852812406,0.0108106908823703,0.05323007202122082,0.03385304058546784,0.0108106908823703,True
uniform_random,187,160,continuous_spearman,0.13786823078639004,0.17143382015247544,0.10263704636810173,0.13731303243565574,0.10263704636810173,True
uniform_random,187,160,top_10_roc_auc,0.09572176054170511,0.10741766697445365,0.13142505386272707,0.11152149379296195,0.09572176054170511,True
uniform_random,187,160,top_10_average_precision,0.08552324958227814,0.07851548261329999,0.10306610451402243,0.08903494556986685,0.07851548261329999,True
uniform_random,187,360,continuous_spearman,0.21442261850087696,0.23629755015811782,0.14194299011052935,0.19755438625650804,0.14194299011052935,True
uniform_random,187,360,top_10_roc_auc,0.1157279162819328,0.12496152662357651,0.13111726685133884,0.12393556991894938,0.1157279162819328,True
uniform_random,187,360,top_10_average_precision,0.09150416230618391,0.07791047465532819,0.09683264607456388,0.08874909434535866,0.07791047465532819,True
uniform_random,188,10,continuous_spearman,0.3672234687941494,0.4128138846243007,0.22498130142109196,0.3350062182798474,0.22498130142109196,True
uniform_random,188,10,top_10_roc_auc,0.08741151123422586,0.18313327177593108,0.14373653431825173,0.13809377244280288,0.08741151123422586,True
uniform_random,188,10,top_10_average_precision,0.11648888289252199,0.1234461695953442,0.16493690689307672,0.13495731979364764,0.11648888289252199,True
uniform_random,188,20,continuous_spearman,0.31753904831887747,0.3632029462836848,0.24143080213623064,0.3073909322462643,0.24143080213623064,True
uniform_random,188,20,top_10_roc_auc,0.1009541397353032,0.1483533394890736,0.16004924592182213,0.13645224171539963,0.1009541397353032,True
uniform_random,188,20,top_10_average_precision,0.18087005541961207,0.15073405541806495,0.25552858992258715,0.19571090025342142,0.15073405541806495,True
uniform_random,188,40,continuous_spearman,0.22771938572434575,0.26461791476947166,0.1156031439856185,0.20264681482647862,0.1156031439856185,True
uniform_random,188,40,top_10_roc_auc,0.040935672514619936,0.1028008618036319,0.1194213604185903,0.08771929824561404,0.040935672514619936,True
uniform_random,188,40,top_10_average_precision,0.07239655058395367,0.0734278498707808,0.14031266913766732,0.09537902319746727,0.07239655058395367,True
uniform_random,188,80,continuous_spearman,0.23960074706836898,0.2984476899053917,0.16736430955224013,0.23513758217533362,0.16736430955224013,True
uniform_random,188,80,top_10_roc_auc,0.12619267466912898,0.17636195752539252,0.15543244075100038,0.1526623576485073,0.12619267466912898,True
uniform_random,188,80,top_10_average_precision,0.17050120502883864,0.13613445933176807,0.2063677607313259,0.17100114169731087,0.13613445933176807,True
uniform_random,188,160,continuous_spearman,0.21543037349044514,0.23465644915080025,0.13977701671281167,0.1966212797846857,0.13977701671281167,True
uniform_random,188,160,top_10_roc_auc,0.1064943059402893,0.13604185903354882,0.1357340720221607,0.12609007899866628,0.1064943059402893,True
uniform_random,188,160,top_10_average_precision,0.12567542896492784,0.10480599251160791,0.13975338421606143,0.12341160189753238,0.10480599251160791,True
uniform_random,188,360,continuous_spearman,0.21442261850087696,0.23629755015811782,0.14194299011052935,0.19755438625650804,0.14194299011052935,True
uniform_random,188,360,top_10_roc_auc,0.1157279162819328,0.12496152662357651,0.13111726685133884,0.12393556991894938,0.1157279162819328,True
uniform_random,188,360,top_10_average_precision,0.09150416230618391,0.07791047465532819,0.09683264607456388,0.08874909434535866,0.07791047465532819,True
uniform_random,189,10,continuous_spearman,0.4705533467175793,0.5530825318094538,0.43262256863799986,0.48541948238834426,0.43262256863799986,True
uniform_random,189,10,top_10_roc_auc,0.28593413357956293,0.39735303170206215,0.17112957833179443,0.28480558120447313,0.17112957833179443,True
uniform_random,189,10,top_10_average_precision,0.23804446912697189,0.3140760885852204,0.10223244371063775,0.21811766714094336,0.10223244371063775,True
uniform_random,189,20,continuous_spearman,0.4161783166467653,0.47443390325727064,0.35028758633057333,0.4136332687448698,0.35028758633057333,True
uniform_random,189,20,top_10_roc_auc,0.22530009233610337,0.29609110495537083,0.13973530317020622,0.22037550015389348,0.13973530317020622,True
uniform_random,189,20,top_10_average_precision,0.13090426155239174,0.15139567590690692,0.10520274653938899,0.1291675613328959,0.10520274653938899,True
uniform_random,189,40,continuous_spearman,0.33925476868436366,0.36149536144024985,0.2485585691978638,0.3164362331074924,0.2485585691978638,True
uniform_random,189,40,top_10_roc_auc,0.121268082486919,0.11418898122499233,0.1046475838719606,0.11336821586129064,0.1046475838719606,True
uniform_random,189,40,top_10_average_precision,0.102348122252958,0.07635042354058072,0.08040005286077298,0.08636619955143725,0.07635042354058072,True
uniform_random,189,80,continuous_spearman,0.2834958250775281,0.31955105914874443,0.20615762792671033,0.26973483738432763,0.20615762792671033,True
uniform_random,189,80,top_10_roc_auc,0.11172668513388728,0.09756848261003392,0.11234225915666363,0.10721247563352827,0.09756848261003392,True
uniform_random,189,80,top_10_average_precision,0.09050060120655917,0.06666466681946909,0.09223803786357554,0.0831344352965346,0.06666466681946909,True
uniform_random,189,160,continuous_spearman,0.30945776308135087,0.3462513176483968,0.2223027026554169,0.29267059446172156,0.2223027026554169,True
uniform_random,189,160,top_10_roc_auc,0.1120344721452754,0.13327177593105566,0.13357956294244377,0.12629527033959162,0.1120344721452754,True
uniform_random,189,160,top_10_average_precision,0.09207644896050676,0.08385128796782923,0.10830836752429768,0.0947453681508779,0.08385128796782923,True
uniform_random,189,360,continuous_spearman,0.21442261850087696,0.23629755015811782,0.14194299011052935,0.19755438625650804,0.14194299011052935,True
uniform_random,189,360,top_10_roc_auc,0.1157279162819328,0.12496152662357651,0.13111726685133884,0.12393556991894938,0.1157279162819328,True
uniform_random,189,360,top_10_average_precision,0.09150416230618391,0.07791047465532819,0.09683264607456388,0.08874909434535866,0.07791047465532819,True
uniform_random,190,10,continuous_spearman,-0.024906944499118677,0.040833322398491856,-0.08466541572080291,-0.022913012607143245,-0.08466541572080291,False
uniform_random,190,10,top_10_roc_auc,0.003693444136657398,0.03601108033240996,-0.02216066481994461,0.0058479532163742505,-0.02216066481994461,False
uniform_random,190,10,top_10_average_precision,0.055380329169882836,0.052814072305858856,0.008025049512307536,0.03873981699601641,0.008025049512307536,True
uniform_random,190,20,continuous_spearman,0.07711425159758029,0.0649267146924904,0.03732892440525393,0.059789963565108205,0.03732892440525393,True
uniform_random,190,20,top_10_roc_auc,0.06309633733456455,0.031086488150200098,0.06186518928901208,0.05201600492459224,0.031086488150200098,True
