component,response,descriptor,spearman_rho,p_value_descriptive_only
post_hydrophobic,row_mean,clogp,-0.5273249297616186,5.491537008829954e-38
post_hydrophobic,residual_rms,clogp,0.5025346971881759,4.065025796809837e-34
post_hydrophobic,row_mean,tpsa,0.31740799992233176,1.9003630226821598e-13
post_hydrophobic,residual_rms,tpsa,0.02949399127310227,0.5054836173826318
post_hydrophobic,row_mean,hbd,0.12492358305872792,0.004641922394762485
post_hydrophobic,residual_rms,hbd,-0.017470635030934222,0.6933010731604756
post_hydrophobic,row_mean,hba,0.45774848838957927,6.989264881298124e-28
post_hydrophobic,residual_rms,hba,0.02344172316778595,0.5966653793181346
post_hydrophobic,row_mean,rotatable_bonds,0.11216899887778023,0.011088059698622286
post_hydrophobic,residual_rms,rotatable_bonds,0.03102895027824826,0.4835791200228612
post_hydrophobic,row_mean,rdkit_rotatable_bonds,0.11216899887778023,0.011088059698622286
post_hydrophobic,residual_rms,rdkit_rotatable_bonds,0.03102895027824826,0.4835791200228612
post_hydrophobic,row_mean,ring_count,-0.3160800120096299,2.4218505349405617e-13
post_hydrophobic,residual_rms,ring_count,0.608750089055563,3.108115320626891e-53
post_hydrogen,row_mean,heavy_atoms,-0.1666850618441354,0.00015127143404818197
post_hydrogen,residual_rms,heavy_atoms,0.06093389422171492,0.16860929458195273
post_hydrogen,row_mean,molecular_weight,-0.19988695338937407,5.165571382057912e-06
post_hydrogen,residual_rms,molecular_weight,0.10101596215638686,0.022254625379466757
post_hydrogen,row_mean,labute_asa,-0.14211579016353282,0.0012631055851542953
post_hydrogen,residual_rms,labute_asa,0.05214744303569332,0.2388446622795056
post_hydrogen,row_mean,clogp,0.37469050539899645,1.6432770831837872e-18
post_hydrogen,residual_rms,clogp,-0.2224957390708282,3.655228558642514e-07
post_hydrogen,row_mean,tpsa,-0.7245901546278466,1.7248583310679809e-84
post_hydrogen,residual_rms,tpsa,0.381028170786487,3.889095616778371e-19
post_hydrogen,row_mean,hbd,-0.6136424686833436,2.7026596971468025e-54
post_hydrogen,residual_rms,hbd,0.2965973999297214,7.408149585127858e-12
post_hydrogen,row_mean,hba,-0.4804307131047207,6.332512950363229e-31
post_hydrogen,residual_rms,hba,0.3056676319579592,1.5553609255900729e-12
post_hydrogen,row_mean,rotatable_bonds,-0.2855864134039955,4.582750329875066e-11
post_hydrogen,residual_rms,rotatable_bonds,0.06367489918799156,0.15022497603511709
post_hydrogen,row_mean,rdkit_rotatable_bonds,-0.2855864134039955,4.582750329875066e-11
post_hydrogen,residual_rms,rdkit_rotatable_bonds,0.06367489918799156,0.15022497603511709
post_hydrogen,row_mean,ring_count,0.12215598694377812,0.005645503089240728
post_hydrogen,residual_rms,ring_count,-0.030169625147212883,0.4957783384062029
pre_gauss1,row_mean,heavy_atoms,-0.7964660642420577,1.6808485431910987e-113
pre_gauss1,residual_rms,heavy_atoms,0.7811580304911755,2.07536904403668e-106
pre_gauss1,row_mean,molecular_weight,-0.777673260634463,7.107554276927248e-105
pre_gauss1,residual_rms,molecular_weight,0.7684982826644235,5.783920388645548e-101
