panel,workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,structure_usable,rdkit_standard_inchikey,rdkit_connectivity,exact_full_standard_inchikey_overlap,connectivity_overlap,connectivity_only_overlap,conservative_de_leakage_connectivity_overlap,matching_full_rows,matching_connectivity_rows,matching_conservative_de_leakage_rows
DOCKSTRING,138,SU11652,326914-10-7,True,True,XPLJEFSRINKZLC-ATVHPVEESA-N,XPLJEFSRINKZLC,True,True,False,True,4431,4431,4431
DOCKSTRING,139,Syk Inhibitor,622387-85-3,True,True,MLKHXLFEYOOYEY-NVNXTCNLSA-N,MLKHXLFEYOOYEY,True,True,False,True,610,610,610
DOCKSTRING,140,Syk Inhibitor II,227449-73-2,True,False,,,False,False,False,True,,,339
DOCKSTRING,141,Syk Inhibitor III,1485-00-3,True,True,KFLWBZPSJQPRDD-ONEGZZNKSA-N,KFLWBZPSJQPRDD,True,True,False,True,289,289,289
DOCKSTRING,142,Tpl2 Kinase Inhibitor,871307-18-5,True,True,NMEUKWOOQOHUNA-UHFFFAOYSA-N,NMEUKWOOQOHUNA,True,True,False,True,396,396,396
DOCKSTRING,143,TGF-b RI Kinase Inhibitor,396129-53-6,True,True,IBCXZJCWDGCXQT-UHFFFAOYSA-N,IBCXZJCWDGCXQT,True,True,False,True,163,163,163
DOCKSTRING,144,TGF-b RI Inhibitor III,356559-13-2,True,True,BTUOOXPZOVNPMF-UHFFFAOYSA-N,BTUOOXPZOVNPMF,False,False,False,False,,,
DOCKSTRING,145,AG 9,2826-26-8,True,True,UOHFCPXBKJPCAD-UHFFFAOYSA-N,UOHFCPXBKJPCAD,True,True,False,True,46,46,46
DOCKSTRING,146,AG 490,133550-30-8,True,True,TUCIOBMMDDOEMM-RIYZIHGNSA-N,TUCIOBMMDDOEMM,True,True,False,True,14,14;16709,14;16709
DOCKSTRING,147,AG 112,144978-82-5,True,True,DXVJRTIPBNBLLB-BJMVGYQFSA-N,DXVJRTIPBNBLLB,False,False,False,False,,,
DOCKSTRING,148,AG 1295,71897-07-9,True,True,FQNCLVJEQCJWSU-UHFFFAOYSA-N,FQNCLVJEQCJWSU,True,True,False,True,25,25,25
DOCKSTRING,149,AG 1296,146535-11-7,True,True,QNOXYUNHIGOWNY-UHFFFAOYSA-N,QNOXYUNHIGOWNY,True,True,False,True,160,160,160
DOCKSTRING,150,AG 1478,175178-82-2,True,True,GFNNBHLJANVSQV-UHFFFAOYSA-N,GFNNBHLJANVSQV,True,True,False,True,29,29,29
DOCKSTRING,151,VEGF Receptor 2 Kinase Inhibitor I,15966-93-5,True,True,PMUJUSJUVIXDQC-LCYFTJDESA-N,PMUJUSJUVIXDQC,True,True,False,True,440,440;97615,440;97615
DOCKSTRING,152,VEGF Receptor Tyrosine Kinase Inhibitor II,269390-69-4,True,True,GGPZCOONYBPZEW-UHFFFAOYSA-N,GGPZCOONYBPZEW,True,True,False,True,724,724,724
DOCKSTRING,153,"VEGF Receptor Tyrosine Kinase Inhibitor III, KRN633",286370-15-8,True,True,VPBYZLCHOKSGRX-UHFFFAOYSA-N,VPBYZLCHOKSGRX,True,True,False,True,26895,26895,26895
DOCKSTRING,154,VEGF Receptor 2 Kinase Inhibitor II,288144-20-7,False,True,RFHPWPWVGFSLOP-ZROIWOOFSA-N,RFHPWPWVGFSLOP,False,False,False,False,,,
DOCKSTRING,155,VEGF Receptor 2 Kinase Inhibitor III,204005-46-9,True,False,,,False,False,False,True,,,19;53;19504
DOCKSTRING,156,VEGF Receptor 2 Kinase Inhibitor IV,216661-57-3,True,True,HBWLNACPIFKNIP-UHFFFAOYSA-N,HBWLNACPIFKNIP,True,True,False,True,464,464,464
DOCKSTRING,157,Wortmannin,19545-26-7,True,True,QDLHCMPXEPAAMD-QAIWCSMKSA-N,QDLHCMPXEPAAMD,False,False,False,False,,,
