dataset,fold,pilot_ligands,panel_k,panel_selector,random_panel_draw,panel_indices,selected_targets,omitted_targets,training_outcome,surface,predictor,target_index,target,r2,rmse,pearson,spearman,equal_budget_lower_5pct_overlap,calibration_lower_5pct_threshold,calibration_threshold_true_count,calibration_threshold_predicted_count,calibration_threshold_true_positive
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,1,ABL1,0.10895272247402921,0.97810423048137562,0.33723562835352261,0.36164256725204125,0.080000000000000002,-1.5636108133652926,159,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,3,ADRB1,0.30018473012503466,0.80318909393097426,0.55101332488223331,0.55075315626802501,0.32666666666666666,-1.9153565164845374,106,5,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,4,ADRB2,0.27785829476095347,0.78475297227001672,0.53186230436901727,0.56777708805533034,0.25333333333333335,-1.4983842699466663,206,1,1
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,5,AKT2,0.15113119611817483,0.92192210681437625,0.3899520213442304,0.34169259711418615,0.32666666666666666,-1.7292172854574308,140,4,1
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,6,MAOB,0.42959747324991704,0.76008793354797688,0.65720206555641536,0.67419330889960427,0.066666666666666666,-1.2260424761600663,161,6,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,7,CASP3,0.24205467194709451,0.83168313992019882,0.49923187554339804,0.48801081897997234,0.30666666666666664,-1.65562544767311,135,13,6
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,8,DHFR,0.097365370231599857,0.87942549369776857,0.31375952032758375,0.29502701234772799,0.22,-1.7333022452583493,118,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,9,ESR2,0.1705655871828794,0.88708531066012897,0.42399988431494079,0.4473105401612168,0.16666666666666666,-1.6919586579059693,116,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,10,PTK2,0.01709445512884944,1.0092778246542464,0.16578268556395453,0.16650029395173613,0.16666666666666666,-1.9887534692053932,105,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,11,FGFR1,0.059658293355656644,0.96309048110614548,0.27272533943870214,0.28680179287303448,0.066666666666666666,-1.6819629078739093,112,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,12,HMGCR,0.20729555081044704,0.84751013382217322,0.4559806778898125,0.42807485456670025,0.26000000000000001,-1.6761524261584246,139,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,13,HSP90AA1,0.012380412129658569,0.9553833109211074,0.1499013890171001,0.1544061127578526,0.10666666666666667,-1.6486097503739947,130,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,14,KIT,0.040729439286561697,0.93526769777175678,0.20263256437713656,0.20035966151321757,0.066666666666666666,-1.7873941121299479,118,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,15,MAPKAPK2,0.11701419963045567,0.88098546065640115,0.34522243226963911,0.35134477236954975,0.17999999999999999,-1.7534498344965241,135,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,16,MAP2K1,0.32102747107397522,0.85294930363023025,0.56909013022082444,0.5941812265484252,0.19333333333333333,-1.6979247554018984,184,4,1
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,17,NOS1,0.054914271831443484,0.97810417410433503,0.24255647435871308,0.20314739301289458,0.13333333333333333,-1.7113235084008607,96,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,18,PARP1,0.31347947388801367,0.78778307494707545,0.56522089837657052,0.57093709770953294,0.29999999999999999,-1.690129939877949,171,8,3
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,19,PDE5A,0.1497182476912321,0.88770892225065046,0.39675482180234234,0.42811003478557491,0.19333333333333333,-1.7102450233936266,156,2,1
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,21,PTPN1,0.0015086417461492863,0.97570473716502526,0.16107514617549581,0.15844779144271989,0.11333333333333333,-1.8056299520298746,124,0,0
