dataset,fold,pilot_ligands,panel_k,surface,selector,metric,higher_is_better,designed_value,random_median,designed_minus_random_median,fraction_random_panels_no_worse,selected_panel_pc1_value,ridge_minus_selected_pc1,descriptor_only_value,ridge_minus_descriptor_only,random_panels
DOCKSTRING-58,1,500,12,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7871815956314666,0.7864729119486551,0.0007086836828115173,0.48,0.6068221874217214,0.18035940820974516,0.49064421564558747,0.29653737998587915,50
DOCKSTRING-58,1,500,12,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.3869354560701569,0.3729887875348302,0.013946668535326667,0.04,0.24999351076217102,0.13694194530798587,0.1572594271851565,0.22967602888500038,50
DOCKSTRING-58,1,500,12,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.3560411803657102,0.3729887875348302,-0.016947607169120027,0.9,0.19314888385833706,0.16289229650737314,0.1572594271851565,0.1987817531805537,50
DOCKSTRING-58,2,500,4,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.6214880183370918,0.6183148956350022,0.0031731227020895814,0.38,0.368402768742748,0.25308524959434375,0.4074858348929815,0.21400218344411026,50
DOCKSTRING-58,2,500,4,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.564043715139968,0.6183148956350022,-0.05427118049503421,0.94,0.19827843288682045,0.36576528225314753,0.4074858348929815,0.15655788024698647,50
DOCKSTRING-58,2,500,4,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.22018597199489465,0.1785799095847318,0.04160606241016285,0.04,0.0660970808465392,0.15408889114835544,0.15367598833362783,0.06650998366126681,50
DOCKSTRING-58,2,500,4,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.19080019645112012,0.1785799095847318,0.012220286866388319,0.28,0.07459185760875808,0.11620833884236204,0.15367598833362783,0.037124208117492286,50
DOCKSTRING-58,2,500,6,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.690682612536718,0.6647242131267297,0.025958399409988342,0.02,0.5814157732572927,0.10926683927942538,0.4074858348929815,0.2831967776437365,50
DOCKSTRING-58,2,500,6,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.6182980957582355,0.6647242131267297,-0.046426117368494224,1.0,0.24405606231115462,0.37424203344708085,0.4074858348929815,0.21081226086525395,50
DOCKSTRING-58,2,500,6,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.26275284216264316,0.2311729116938538,0.031579930468789374,0.04,0.11998155406631594,0.14277128809632722,0.15367598833362783,0.10907685382901533,50
DOCKSTRING-58,2,500,6,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.22729912790105244,0.2311729116938538,-0.003873783792801344,0.56,0.0993861290521657,0.12791299884888674,0.15367598833362783,0.07362313956742461,50
DOCKSTRING-58,2,500,8,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7184225585598465,0.6886901485159499,0.029732410043896595,0.02,0.6473616161591389,0.0710609424007076,0.4074858348929815,0.310936723666865,50
DOCKSTRING-58,2,500,8,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7159244863299011,0.6886901485159499,0.027234337813951237,0.02,0.4386584562463789,0.27726603008352224,0.4074858348929815,0.3084386514369196,50
DOCKSTRING-58,2,500,8,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.29879420510451815,0.27785987652668054,0.020934328577837613,0.1,0.16762968485547236,0.1311645202490458,0.15367598833362783,0.14511821677089032,50
DOCKSTRING-58,2,500,8,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.28973680742200847,0.27785987652668054,0.01187693089532793,0.26,0.11328589325398442,0.17645091416802405,0.15367598833362783,0.13606081908838064,50
DOCKSTRING-58,2,500,10,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7462197454340311,0.7198506988059942,0.026369046628036963,0.0,0.6843149336374315,0.06190481179659968,0.4074858348929815,0.3387339105410496,50
DOCKSTRING-58,2,500,10,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7386052652364077,0.7198506988059942,0.01875456643041351,0.06,0.47476538067538476,0.2638398845610229,0.4074858348929815,0.33111943034342617,50
DOCKSTRING-58,2,500,10,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.34261374942136824,0.32554781469177185,0.017065934729596388,0.06,0.210423043658304,0.13219070576306424,0.15367598833362783,0.1889377610877404,50
DOCKSTRING-58,2,500,10,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.3217313769919926,0.32554781469177185,-0.0038164376997792404,0.6,0.14538592727275235,0.17634544971924027,0.15367598833362783,0.16805538865836478,50
DOCKSTRING-58,2,500,12,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7641779732060967,0.7388516443894945,0.02532632881660224,0.02,0.6997685408332532,0.06440943237284347,0.4074858348929815,0.3566921383131152,50
DOCKSTRING-58,2,500,12,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7644666992507136,0.7388516443894945,0.025615054861219178,0.02,0.5449250757132875,0.21954162353742612,0.4074858348929815,0.35698086435773213,50
DOCKSTRING-58,2,500,12,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.3856574310413,0.3620061049539212,0.0236513260873788,0.0,0.24538094597864568,0.14027648506265433,0.15367598833362783,0.23198144270767218,50
DOCKSTRING-58,2,500,12,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.3515091590254986,0.3620061049539212,-0.010496945928422596,0.8,0.18062096688851215,0.17088819213698647,0.15367598833362783,0.19783317069187079,50
