ligand_id,target,rfscore,smina_vina,orig_vina
11420,4n6h,6.8422458804528805,-6.03803253,-6.0
3596,4n6h,6.376409991952485,-7.47402811,-7.2
9428,4n6h,6.929123909812411,-8.10420036,-7.9
10991,4n6h,6.734718879509381,-5.09172678,-4.6
14663,4n6h,7.70719974725274,-8.10058117,-7.5
11990,4n6h,5.606473154845159,-6.77279854,-6.1
3353,4n6h,7.158570673160166,-7.68520641,-7.7
3496,4n6h,,-5.78776217,-5.6
2461,4n6h,5.310264241425242,-4.53242207,-4.7
13116,4n6h,,-5.25619459,-5.1
13670,4n6h,6.526651497058489,-7.86948347,-7.6
9550,4n6h,6.844219661671657,-6.00630283,-5.4
8215,4n6h,6.503012874458868,-9.30230999,-9.2
6955,4n6h,5.912084913419913,-6.37778044,-6.1
8587,4n6h,7.4844018917193935,-7.97789383,-8.2
13089,4n6h,,-7.39465618,-7.3
8652,4n6h,7.597152651737153,-7.3220377,-6.1
12840,4n6h,4.772103775890773,-6.67098522,-6.7
14079,4n6h,7.133014080197589,-10.0779562,-9.8
428,4n6h,7.992611272782776,-7.46168375,-6.9
15096,4n6h,7.147981046176051,-8.49247646,-7.5
1155,4n6h,7.190851328282822,-9.09417152,-7.7
12216,4n6h,,-7.5104804,-6.9
4344,4n6h,7.374172812076807,-9.88484859,-7.7
4155,7f8y,3.5445570154290214,-1.03056955,-1.2
847,7f8y,4.6616630734265785,-3.56341195,-3.6
15650,7f8y,5.44645202170052,-5.57796192,-5.1
969,7f8y,4.950908004551002,-5.84420872,-5.7
2196,7f8y,4.401444486291483,-4.51338768,-4.5
7033,7f8y,6.001848511488512,-5.959867,-5.8
945,7f8y,5.928288219724721,-5.80080986,-6.2
15715,7f8y,6.4388731439116444,-5.25313282,-5.9
5041,7f8y,5.916015885281384,-6.42154121,-6.0
9141,7f8y,5.6736387509712465,-6.89232111,-6.9
2787,7f8y,5.4843027171717225,-4.43022823,-4.6
2472,7f8y,,-6.42357874,-6.4
5753,7f8y,5.650081571428564,-4.49307585,-4.2
3470,7f8y,7.269289735153733,-6.03122997,-6.4
9099,7f8y,5.989313592296593,-6.96534872,-6.9
10838,7f8y,6.217045491508496,-5.34780216,-5.1
10372,7f8y,5.633762975968472,-7.16117811,-6.9
8747,7f8y,6.336411981962476,-7.81596804,-7.8
6061,7f8y,6.55047905455656,-6.28582239,-6.4
6204,7f8y,7.013181559551553,-6.69146681,-6.3
5562,7f8y,5.376677883727387,-7.65143871,-8.0
49,7f8y,5.949083904650905,-8.11289787,-7.8
5799,7f8y,6.767726681096671,-6.32698441,-6.2
3827,7f8y,6.778393785103784,-7.96265268,-7.2
11420,7f8y,6.974761418636921,-6.65191174,-6.3
3596,7f8y,6.5465791818181875,-7.22669077,-7.1
9428,7f8y,7.245598749306251,-7.93820047,-7.9
10991,7f8y,6.625869609002112,-5.08226633,-5.1
14663,7f8y,6.876152519536018,-8.38856602,-8.4
11990,7f8y,6.405563230380739,-7.31816435,-6.6
3353,7f8y,7.087055320457322,-7.38902187,-7.3
3496,7f8y,,-5.84241867,-6.2
2461,7f8y,5.199100643856143,-4.40678787,-4.5
13116,7f8y,,-6.70150185,-6.4
13670,7f8y,6.898618351370844,-8.04003048,-7.7
9550,7f8y,7.9918294083694095,-6.34532595,-5.8
8215,7f8y,7.004579110833612,-8.70446777,-8.7
6955,7f8y,6.70629097041847,-7.6399231,-7.3
8587,7f8y,7.467590022644021,-9.52786064,-9.3
13089,7f8y,,-8.77518177,-8.6
8652,7f8y,7.551122065934058,-7.34228516,-6.7
12840,7f8y,5.946610344100347,-7.49601889,-7.7
14079,7f8y,7.539300671273169,-9.51030827,-9.2
428,7f8y,7.8668631029297424,-8.24591064,-7.2
15096,7f8y,7.187330252081258,-9.31216717,-8.4
1155,7f8y,6.946019048118549,-10.6309814,-9.5
12216,7f8y,,-8.65193462,-7.7
4344,7f8y,7.387578153679653,-11.8754683,-9.2
4155,5va1,3.5430326416916453,-0.99830538,-1.0
847,5va1,4.359311847041848,-2.76676416,-2.7
15650,5va1,4.955110637140641,-5.23235083,-4.5
969,5va1,4.402515659895661,-4.5818882,-4.4
2196,5va1,4.086741577478078,-3.52652216,-3.5
7033,5va1,4.044083420468419,-4.54924631,-4.4
945,5va1,4.322935995448999,-4.93201542,-4.8
15715,5va1,3.5955324332334335,-4.20443773,-4.2
5041,5va1,3.797472984737482,-5.86631775,-5.3
9141,5va1,4.604143621600624,-5.22399902,-5.1
2787,5va1,4.4339772683982694,-3.7297039,-3.6
2472,5va1,,-4.78888464,-4.4
5753,5va1,5.496413862859363,-3.53165865,-3.3
3470,5va1,4.204943405150401,-4.8062849,-4.5
9099,5va1,5.212000926295924,-4.9916091,-5.1
10838,5va1,5.6781361136641095,-4.12742424,-3.7
10372,5va1,4.394557904761905,-5.34677362,-4.8
8747,5va1,5.672771483349988,-5.65986395,-5.4
6061,5va1,3.8202058434898474,-5.25814199,-4.5
6204,5va1,3.8349556891441923,-4.72813272,-4.3
5562,5va1,4.514301128649131,-6.92247963,-6.8
49,5va1,5.605259829947832,-5.63385773,-5.8
5799,5va1,5.865931030247534,-4.82372427,-4.4
3827,5va1,5.591839830891332,-5.29772043,-4.7
11420,5va1,5.211122813131313,-5.30596733,-4.4
3596,5va1,3.9084951885336885,-5.57625532,-5.3
9428,5va1,5.726525449328451,-5.78171015,-5.5
10991,5va1,5.281611210678208,-4.10330057,-3.4
14663,5va1,5.384070691697191,-6.24437475,-5.5
11990,5va1,5.316634977633486,-5.28422165,-4.6
3353,5va1,6.234355878732387,-5.73137617,-5.4
3496,5va1,,-4.51325798,-3.7
2461,5va1,4.762100238594744,-3.242522,-3.2
13116,5va1,,-5.21767712,-4.6
13670,5va1,5.02386143650794,-5.49032593,-4.6
9550,5va1,5.735631876623372,-5.09797716,-3.7
8215,5va1,5.855783848484855,-6.18839836,-5.4
