ligand_id,target,rfscore,orig_vina
2381,5va1,,-5.3
9151,5va1,5.449598642302146,-4.9
15941,5va1,6.106745917304913,-4.9
11286,5va1,5.872029657287152,-5.5
4155,6x3x,3.5030625507825546,-1.2
1596,6x3x,4.892269039849038,-5.3
4642,6x3x,4.287898775446781,-4.8
11921,6x3x,4.777926217671217,-5.1
4765,6x3x,5.143721676989674,-7.0
2784,6x3x,5.4155213737373735,-7.8
2155,6x3x,5.6111638922743925,-8.4
1565,6x3x,4.443443441558442,-7.3
9184,6x3x,5.53695834598735,-7.4
10614,6x3x,,-6.3
6080,6x3x,4.538509049173046,-6.7
12886,6x3x,4.59879288006438,-7.2
3312,6x3x,7.78190894216895,-7.5
13905,6x3x,6.388430204184707,-7.9
10699,6x3x,,-7.8
12063,6x3x,6.655247708347199,-8.1
1038,6x3x,5.452248362914861,-5.7
568,6x3x,5.315746818070817,-6.5
11932,6x3x,5.9425709277389345,-7.8
15210,6x3x,5.674063866355869,-8.5
7984,6x3x,5.034021315462313,-6.9
9010,6x3x,5.36285169641469,-7.4
6971,6x3x,5.282145552669555,-8.2
13019,6x3x,4.4562374856809885,-7.9
12312,6x3x,5.034365980297481,-8.7
12956,6x3x,5.817970807359307,-8.7
5790,6x3x,5.38653828266178,-6.5
10782,6x3x,5.397368201798206,-9.0
12679,6x3x,5.25583642207792,-9.0
14010,6x3x,6.116596739205235,-10.2
14600,6x3x,6.501406961371962,-11.0
4220,6x3x,,-6.2
8026,6x3x,5.658306200022193,-7.7
13380,6x3x,5.474525426406926,-8.5
10751,6x3x,6.02973171933622,-10.9
2381,6x3x,,-8.2
9151,6x3x,5.56542677744478,-9.1
15941,6x3x,6.949255782452836,-8.2
11286,6x3x,5.816201487734487,-8.2
4155,8fhs,3.541818949383953,-1.1
1596,8fhs,5.271927028471524,-4.4
4642,8fhs,4.5284960115440125,-3.7
11921,8fhs,4.767055802308802,-4.1
4765,8fhs,4.677425294594297,-5.4
2784,8fhs,4.752574701909204,-5.8
2155,8fhs,6.026944856920861,-6.2
1565,8fhs,5.294789644910646,-5.8
9184,8fhs,5.327029066267068,-6.1
10614,8fhs,,-5.2
6080,8fhs,5.118465886002883,-5.2
12886,8fhs,5.959051478965484,-5.1
3312,8fhs,6.080467218337218,-5.3
13905,8fhs,6.241527318181821,-5.7
10699,8fhs,,-6.5
