dropped_target,remaining_targets,selected_k,selected_cumulative_variance_fraction,panel,analysis_role,positive_pairs,total_pairs,full_continuous_spearman,full_roc_auc,full_average_precision,normalized_low_mode_continuous_spearman,normalized_low_mode_minus_full_continuous_spearman,normalized_low_mode_roc_auc,normalized_low_mode_minus_full_roc_auc,normalized_low_mode_average_precision,normalized_low_mode_minus_full_average_precision,spectral_kernel_continuous_spearman,spectral_kernel_minus_full_continuous_spearman,spectral_kernel_roc_auc,spectral_kernel_minus_full_roc_auc,spectral_kernel_average_precision,spectral_kernel_minus_full_average_precision
KDR,19,5,0.507792133741665,DAVIS,locked_no_retuning_evaluation,18,171,0.214726282189742,0.761437908496732,0.325811305409794,0.267309861521108,0.0525835793313654,0.78322440087146,0.0217864923747277,0.371124732365932,0.0453134269561381,0.230822953416373,0.0160966712266302,0.768336964415396,0.0068990559186638,0.325407127533982,-0.000404177875811429
KDR,19,5,0.507792133741665,PKIS2,locked_no_retuning_evaluation,18,171,0.221194230446156,0.687726942628903,0.279112561848891,0.262413900688794,0.0412196702426381,0.709150326797386,0.0214233841684822,0.29524572121528,0.0161331593663883,0.228454172366621,0.00725994192046464,0.695352214960058,0.00762527233115462,0.287106640125292,0.00799407827640081
KDR,19,5,0.507792133741665,KiRHub,locked_no_retuning_evaluation,18,171,0.300955192358461,0.687726942628903,0.254035746551543,0.361835505315958,0.0608803129574964,0.754538852578068,0.0668119099491649,0.301595881062637,0.0475601345110939,0.326764585883313,0.0258093935248518,0.732389251997095,0.0446623093681917,0.275994244773097,0.0219584982215539
KIT,19,5,0.528128812968763,PKIS1,post_hoc_discovery,18,171,0.145664434684523,0.560639070442992,0.206761367210937,0.180560155518756,0.0348957208342333,0.587145969498911,0.0265068990559186,0.212557866715512,0.00579649950457442,0.168257853937169,0.022593419252646,0.575526506899056,0.0148874364560639,0.215459840601874,0.00869847339093643
KIT,19,5,0.528128812968763,DAVIS,locked_no_retuning_evaluation,18,171,0.203494372045024,0.737835875090777,0.316649662812364,0.264854681162551,0.0613603091175271,0.778867102396514,0.0410312273057371,0.353174601369244,0.0365249385568802,0.235363717090263,0.0318693450452397,0.761074800290487,0.0232389251997095,0.326607473038141,0.00995781022577635
KIT,19,5,0.528128812968763,PKIS2,locked_no_retuning_evaluation,18,171,0.234624523003816,0.710965867828613,0.286114047310771,0.274255405956752,0.0396308829529364,0.738562091503268,0.0275962236746551,0.276202008242066,-0.00991203906870497,0.251131590947272,0.0165070679434565,0.732752360203341,0.0217864923747276,0.296515039028269,0.0104009917174989
KIT,19,5,0.528128812968763,KiRHub,locked_no_retuning_evaluation,18,171,0.280207358341133,0.697167755991285,0.257050907041372,0.345642834857321,0.0654354765161879,0.778140885984023,0.0809731299927378,0.321500262604262,0.0644493555628899,0.314279885760914,0.0340725274197806,0.753449527959332,0.0562817719680464,0.29137816523678,0.0343272581954081
LCK,19,5,0.521306048695837,PKIS1,post_hoc_discovery,18,171,0.258206734346125,0.625272331154684,0.185944020501946,0.235901312789498,-0.0223054215566276,0.604938271604938,-0.0203340595497458,0.178538635380324,-0.00740538512162245,0.242438860489116,-0.0157678738570092,0.612200435729848,-0.0130718954248366,0.186118798300092,0.000174777798146175
LCK,19,5,0.521306048695837,DAVIS,locked_no_retuning_evaluation,18,171,0.366695466436269,0.775962236746551,0.314662442842903,0.360028319773442,-0.0066671466628267,0.782135076252723,0.00617283950617276,0.314889839221359,0.000227396378456479,0.351045191638467,-0.0156502747978017,0.779956427015251,0.00399419026870007,0.29326904836815,-0.0213933944747527
LCK,19,5,0.521306048695837,PKIS2,locked_no_retuning_evaluation,18,171,0.385100919192646,0.749818445896877,0.286678202854292,0.373372213022296,-0.0117287061703507,0.769426289034132,0.0196078431372548,0.271265440408224,-0.0154127624460685,0.369035447716418,-0.0160654714762282,0.76797385620915,0.0181554103122731,0.28030670929342,-0.00637149356087197
