chemical_support_sensitivity,target_sensitivity,residual_scaling,n_docking44_ligands,n_dockstring_ligands,n_targets,docking44_target,dockstring_target,descriptor,docking44_slope_per_descriptor_sd,dockstring_slope_per_descriptor_sd,docking44_target_slope_rank,dockstring_target_slope_rank
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6cm4,DRD2,heavy_atoms,-0.069519529966771118,-0.37462192642517272,5,3
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6cm4,DRD2,molecular_weight,-0.031768715478632775,-0.34775963866805459,5,3
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6cm4,DRD2,labute_asa,-0.05720544035537798,-0.37051076307098735,5,3
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6cm4,DRD2,tpsa,0.01492338529749831,-0.091165506060259652,5,3
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6cm4,DRD2,clogp,-0.082640287600558221,-0.30915319017063492,6,2
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6cm4,DRD2,rotatable_bonds,-0.016141916449820586,-0.17061156936972477,4,3
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6cm4,DRD2,ring_count,-0.11945649672230986,-0.34545253698794853,5,2
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6pdj,LCK,heavy_atoms,-0.23925831383623114,-0.16202904180468397,4,4
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6pdj,LCK,molecular_weight,-0.22627241238944518,-0.15683969440175291,3,4
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6pdj,LCK,labute_asa,-0.24103173596663358,-0.16422866766010397,4,4
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6pdj,LCK,tpsa,-0.17211246766124991,-0.0065709354711151104,3,4
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6pdj,LCK,clogp,-0.093145046715021038,-0.15362607786143978,5,5
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6pdj,LCK,rotatable_bonds,-0.12312567066497296,0.17513363388558656,3,7
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,6pdj,LCK,ring_count,-0.13836556006275122,-0.2950685238821692,4,4
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,1m2z,NR3C1,heavy_atoms,0.22407475585515441,0.42148729754136688,7,7
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,1m2z,NR3C1,molecular_weight,0.17990203133125218,0.39974630202746358,7,7
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,1m2z,NR3C1,labute_asa,0.21370385160900804,0.41814899748191692,7,7
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,1m2z,NR3C1,tpsa,0.15393854103813148,0.20602002049335466,7,7
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,1m2z,NR3C1,clogp,0.087565273666492111,0.23231232327240381,8,8
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,1m2z,NR3C1,rotatable_bonds,0.10246779618763137,0.12146673553664936,8,7
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,1m2z,NR3C1,ring_count,0.17941566945085158,0.36240154940467006,7,7
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2rh1,ADRB2,heavy_atoms,-0.26541481011564294,-0.26161904590348534,2,1
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2rh1,ADRB2,molecular_weight,-0.19216104697786526,-0.25250999604001778,2,1
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2rh1,ADRB2,labute_asa,-0.24900592361781151,-0.26123151847517756,2,1
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2rh1,ADRB2,tpsa,-0.10589408378756958,-0.11074328599544214,2,1
