target,size_x_angstrom,size_y_angstrom,size_z_angstrom,box_volume_angstrom3,source_package,source_resource,source_repository,metadata_selection_used_score_outcomes,unscaled_two_way_residual__heavy_atoms_slope,unscaled_two_way_residual__molecular_weight_slope,unscaled_two_way_residual__labute_asa_slope,unscaled_two_way_residual__tpsa_slope,unscaled_two_way_residual__clogp_slope,unscaled_two_way_residual__rotatable_bonds_slope,unscaled_two_way_residual__ring_count_slope,target_standardized_two_way_residual__heavy_atoms_slope,target_standardized_two_way_residual__molecular_weight_slope,target_standardized_two_way_residual__labute_asa_slope,target_standardized_two_way_residual__tpsa_slope,target_standardized_two_way_residual__clogp_slope,target_standardized_two_way_residual__rotatable_bonds_slope,target_standardized_two_way_residual__ring_count_slope
JAK2,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/JAK2_conf.txt,https://github.com/dockstring/dockstring,False,-0.002585592237416722,-0.0014070860773139273,-0.00010463767897496547,-0.010679700464390143,0.0003270036986458665,0.068493430265910232,-0.063157689022742228,-0.0052031644971023173,-0.0028315757666265086,-0.00021056957412809638,-0.021491493318962156,0.00065805195830694865,0.13783402482690052,-0.12709654696770228
LCK,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/LCK_conf.txt,https://github.com/dockstring/dockstring,False,-0.077014927803676303,-0.074548350138749359,-0.078060444240504137,-0.0031232679973542607,-0.073020868132534417,0.083243744574832176,-0.1402506662436219,-0.16202904180468397,-0.15683969440175291,-0.16422866766010397,-0.0065709354711151104,-0.15362607786143978,0.17513363388558656,-0.2950685238821692
MET,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/MET_conf.txt,https://github.com/dockstring/dockstring,False,0.026748278751659426,0.028095661411414813,0.023460002866268981,0.032309583666783187,-0.0090944215364819076,-0.068183338500829499,0.061821896917278928,0.044284469380379186,0.046515197072937282,0.03884039747905059,0.053491769764650504,-0.015056730782709095,-0.11288438385608972,0.10235237663284595
MMP13,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/MMP13_conf.txt,https://github.com/dockstring/dockstring,False,-0.071850786775659023,-0.068240067845881033,-0.07013155118398158,-0.071211971005377767,-0.0066674375725764767,-0.049125911908032421,-0.060917578605834702,-0.11378122534783409,-0.10806337530536329,-0.11105868407777889,-0.11276961163591939,-0.010558398188549008,-0.077794645042346039,-0.096467652617869298
PTGS2,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/PTGS2_conf.txt,https://github.com/dockstring/dockstring,False,0.44474969130330388,0.43543535525639404,0.44605726114658217,0.21891170151555719,0.18322053757017936,0.18181796766034652,0.36990708012266849,0.46795727993697128,0.45815691032196842,0.46933308039091837,0.23033478469068308,0.19278121169388174,0.19130545395248011,0.38920928879427263
PPARA,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/PPARA_conf.txt,https://github.com/dockstring/dockstring,False,-0.058022320271016038,-0.060626678511251746,-0.057045805192365753,-0.084555543897725002,0.0029567496745155843,-0.17036350450385324,0.046765562616854613,-0.089673481763334228,-0.093698516785548316,-0.08816427794852727,-0.13068057237774905,0.0045696558975574959,-0.26329675447149231,0.072276165566743544
PPARG,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/PPARG_conf.txt,https://github.com/dockstring/dockstring,False,-0.13037605817577855,-0.12417781317004115,-0.13012489770751928,-0.06565217240598191,-0.060050333256050976,-0.13405379033478035,-0.057234714479527334,-0.25265278244566119,-0.240641345155019,-0.25216606431632088,-0.12722584394759057,-0.11637016792972164,-0.25977977551526987,-0.11091384467414472
REN,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/REN_conf.txt,https://github.com/dockstring/dockstring,False,-0.25250102744827224,-0.24244215619335455,-0.25413784645272125,-0.073820150210435809,-0.16547661375536588,-0.064360675341608428,-0.22880483670453086,-0.50727414425433581,-0.48706588863031369,-0.51056251091237304,-0.14830455901569273,-0.33244224186000554,-0.12930048973457725,-0.45966853645505068
ADORA2A,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/ADORA2A_conf.txt,https://github.com/dockstring/dockstring,False,-0.046378349209183635,-0.03065149929557455,-0.043388038354820468,0.061938907289516322,-0.1510002645534437,0.044776284899232716,-0.12174179378627634,-0.078745409331250141,-0.052042923040663137,-0.073668185663964492,0.10516555011573189,-0.25638208008993696,0.07602527780407857,-0.20670436847982238
ACHE,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/ACHE_conf.txt,https://github.com/dockstring/dockstring,False,0.041044211119759713,0.045259246748862982,0.041303463807712347,0.019327392467732938,-0.025408863388374989,-0.09945592461112783,0.10262749890314248,0.049003737008542943,0.054036176220190399,0.049313265446112878,0.023075469882614316,-0.03033629408875364,-0.11874298081560289,0.12252960475766037
BACE1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/BACE1_conf.txt,https://github.com/dockstring/dockstring,False,-0.11565032863935604,-0.12118864611525124,-0.11727887852541599,-0.095874832625129872,0.0081682958761014213,-0.020955697760135922,-0.082568347653165008,-0.25490019325887453,-0.26710697391867694,-0.25848961393387243,-0.21131382549734817,0.018003409258842158,-0.046187602506435527,-0.18198554229352593
CA2,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/CA2_conf.txt,https://github.com/dockstring/dockstring,False,0.0029461180766246057,-0.0078010105613273168,0.0051769938235775503,-0.06730495951958218,0.081309101921394858,0.023055414805508795,0.019237926861863073,0.0066119298776870939,-0.017507694350692122,0.011618651815181659,-0.15105154009098798,0.18248083285851185,0.051742931556112551,0.043175398980765077
CYP2C9,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/CYP2C9_conf.txt,https://github.com/dockstring/dockstring,False,-0.30921182040738499,-0.29756703316824518,-0.3112045806762177,-0.074710382683832427,-0.22357270716142041,-0.17119010057432565,-0.2487865557114973,-0.51118914530666471,-0.49193797687393415,-0.51448357763879093,-0.12351124423175516,-0.36961051791994859,-0.28301156495976409,-0.41129406570031612
CYP3A4,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/CYP3A4_conf.txt,https://github.com/dockstring/dockstring,False,-0.45700508527023548,-0.43709659225436903,-0.45925619185589056,-0.14020558646213677,-0.26088643241476261,-0.15855580857808679,-0.39960475887824254,-0.63560066738074061,-0.60791202264728705,-0.6387314965428309,-0.19499731446784055,-0.36283970550426486,-0.22051872287095681,-0.55576854529166264
HSD11B1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/HSD11B1_conf.txt,https://github.com/dockstring/dockstring,False,0.21174730728716029,0.2003771658829572,0.20919224231612743,0.13851940931539053,0.09160621521537865,0.077434048543681244,0.16509739648526581,0.28903122190860425,0.27351118576064154,0.28554360471009121,0.18907647348823256,0.12504081708211143,0.10569606742417099,0.22535494241422732
DPP4,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/DPP4_conf.txt,https://github.com/dockstring/dockstring,False,-0.23178358944480201,-0.22703254754939461,-0.22792595272041066,-0.16571875071711736,-0.051500211581936045,-0.10027226047963543,-0.17262017907354146,-0.45163212722743135,-0.4423746851328072,-0.44411549205890777,-0.32290427500549118,-0.10034856292080856,-0.19538127962724264,-0.33635176184865179
DRD2,30,30,32,28800,dockstring 0.3.4,dockstring/resources/targets/DRD2_conf.txt,https://github.com/dockstring/dockstring,False,-0.21940769136187988,-0.2036750496616746,-0.21699987484948044,-0.053393599801783889,-0.18106411543972376,-0.099923383855951314,-0.20232383175993682,-0.37462192642517272,-0.34775963866805459,-0.37051076307098735,-0.091165506060259652,-0.30915319017063492,-0.17061156936972477,-0.34545253698794853
DRD3,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/DRD3_conf.txt,https://github.com/dockstring/dockstring,False,-0.16984049740918569,-0.17144841479643436,-0.16996986573253284,-0.10365666352280181,-0.046011254252958274,-0.092500811203817229,-0.10801795704918196,-0.32442472245841764,-0.3274961227431063,-0.32467183832911423,-0.1980021538286649,-0.087889452861272269,-0.1766925465937422,-0.20633297871106451
EGFR,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/EGFR_conf.txt,https://github.com/dockstring/dockstring,False,-0.13840979302666656,-0.12805772388064782,-0.13562298022672425,-0.061294733180133003,-0.084769955335626229,-0.049363134208411034,-0.14731543258984911,-0.27483812977880723,-0.25428219033827559,-0.26930439982205329,-0.12171197907414767,-0.16832635521236455,-0.098019592322098892,-0.29252191694809865
F10,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/F10_conf.txt,https://github.com/dockstring/dockstring,False,-0.17989183515965279,-0.17997161810328208,-0.18102479664080498,-0.13040126866107307,-0.0066576794557905612,-0.15380387654781186,-0.092600240632707179,-0.31414623346870896,-0.31428555892066146,-0.31612473116791351,-0.22772054858999605,-0.011626347148120579,-0.26858866867137371,-0.16170837763283608
GBA,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/GBA_conf.txt,https://github.com/dockstring/dockstring,False,-0.21160705915843886,-0.20917190397887669,-0.21074152634646462,-0.1118906340491333,-0.080552503404125869,-0.053809932087777269,-0.19290138275739091,-0.36526395908626325,-0.36106053399537175,-0.36376992602858504,-0.19313918987389694,-0.13904510759100219,-0.092883616032053556,-0.33297529420520394
MAPK1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/MAPK1_conf.txt,https://github.com/dockstring/dockstring,False,-0.037832099688514073,-0.033203253620897696,-0.035289934493281494,-0.043812779700909778,-0.022005104454415038,-0.031505996538591617,-0.035392606138401186,-0.07371495979203474,-0.06469576168864595,-0.068761610475074245,-0.08536817466175084,-0.042876430423691374,-0.061388696032522116,-0.068961663769871409
MAPK14,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/MAPK14_conf.txt,https://github.com/dockstring/dockstring,False,0.055381986059944113,0.052160622090735069,0.0529679497398617,0.050951158552353014,0.032918713570869153,0.082982351018837344,0.022477884078459749,0.1144443449737185,0.10778754344661125,0.10945584916398761,0.10528824227908154,0.068025018241813798,0.17147923869055282,0.046449520914077121
PLK1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/PLK1_conf.txt,https://github.com/dockstring/dockstring,False,-0.10995715516405426,-0.09986562005975648,-0.10827830024147297,-0.013037768278350631,-0.10408233123191793,0.0076217468357657565,-0.14781727029638184,-0.22533383105697707,-0.20465337362876621,-0.22189337453616512,-0.026718136443332395,-0.2132946274104438,0.015619151034665293,-0.30292009430921585
SRC,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/SRC_conf.txt,https://github.com/dockstring/dockstring,False,-0.10834825016328471,-0.10561030852959738,-0.1098016059887979,-0.024767516927755893,-0.094794297770384339,0.02833203044345255,-0.13812707725338488,-0.2297581711369969,-0.22395222169630161,-0.2328400887127581,-0.052520824142060003,-0.20101630120575559,0.060079562793818091,-0.29290574242232215
THRB,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/THRB_conf.txt,https://github.com/dockstring/dockstring,False,0.67826203745814795,0.65845458155882786,0.67614048341129396,0.3696719252789688,0.29404325451753677,0.23034458010223269,0.57944428804215886,0.51978714861146325,0.5046076745224537,0.51816129242648223,0.28329864469868959,0.2253404973200141,0.17652492086708049,0.44405801537907469
F2,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/F2_conf.txt,https://github.com/dockstring/dockstring,False,-0.16119452878819931,-0.16521781537477309,-0.16248282271520648,-0.12523804801438781,-0.0065321339993560986,-0.065211067528746683,-0.11517096120727265,-0.32580018368997443,-0.33393189584420885,-0.32840403384060274,-0.25312632726929407,-0.013202498080279393,-0.1318021023368651,-0.23277911849218597
KDR,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/KDR_conf.txt,https://github.com/dockstring/dockstring,False,0.14711064201749027,0.14095149192030021,0.14296285369863079,0.074710011101789028,0.051531835284261619,-0.042245142460293178,0.1909876131863005,0.16864131210071287,0.16158072736278584,0.16388646598750448,0.08564434310446821,0.059073879347644166,-0.048428014157795345,0.21893998449746291
