dataset,calibration_ligands,repetition,panel_targets_k,reference_scope,cluster_adjusted_rand_index,sample_vs_fixed_full_source_panel_medoid_overlap,sample_vs_fixed_full_source_panel_medoid_jaccard,fixed_full_source_panel_mean_nearest_distance_on_reference_map,sample_map_medoids_mean_nearest_distance_on_reference_map,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map,sample_map_medoids_maximum_nearest_distance_on_reference_map,random_panels_on_reference_map,fraction_random_panels_with_mean_coverage_no_worse_than_sample,random_mean_nearest_distance_median,random_mean_nearest_distance_q025,random_mean_nearest_distance_q975
DOCKSTRING-58,500,21,10,row_disjoint_complement_map,0.71952943838018213,9,0.81818181818181823,0.50755038501210847,0.50951568312971895,0.0019652981176104811,0.8058525377917356,200,0,0.55386473807089875,0.53465785459967463,0.58765558208741586
DOCKSTRING-58,500,22,6,full_source_map_including_calibration_rows,0.58068513263871402,4,0.5,0.56629741220678864,0.56872167505717175,0.0024242628503831076,0.91089310430050541,10000,0,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,22,6,row_disjoint_complement_map,0.58068513263871402,4,0.5,0.5662708809621817,0.56871018357098768,0.0024393026088059822,0.91115012286860975,200,0,0.62941531834234521,0.59718023339202153,0.6791557633697326
DOCKSTRING-58,500,22,8,full_source_map_including_calibration_rows,0.57966722729456988,6,0.59999999999999998,0.53608801513880355,0.54136405262053555,0.0052760374817319988,0.91089310430050541,10000,0,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,22,8,row_disjoint_complement_map,0.57966722729456988,6,0.59999999999999998,0.53605998343882677,0.54135135101027776,0.0052913675714509889,0.91115012286860975,200,0,0.59139312067126437,0.56336452442633467,0.62760220262475042
DOCKSTRING-58,500,22,10,full_source_map_including_calibration_rows,0.93341765217671513,8,0.66666666666666663,0.50753775223979436,0.51670690321092994,0.0091691509711355756,0.83680415034695721,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,22,10,row_disjoint_complement_map,0.93341765217671513,8,0.66666666666666663,0.50751486863022255,0.51671035469286219,0.0091954860626396462,0.83682030253610795,200,0,0.55384936907535898,0.53462611679565208,0.58760805546502581
DOCKSTRING-58,500,23,6,full_source_map_including_calibration_rows,0.74947658447205134,4,0.5,0.56629741220678864,0.56958750154655524,0.0032900893397665998,0.86970296891965271,10000,0,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,23,6,row_disjoint_complement_map,0.74947658447205134,4,0.5,0.56629681390669129,0.5696097600258957,0.0033129461192044074,0.8696671236650575,200,0,0.62941660063729743,0.59719337967900699,0.67916647169082411
DOCKSTRING-58,500,23,8,full_source_map_including_calibration_rows,0.77492699783063501,4,0.33333333333333331,0.53608801513880355,0.54054633488417236,0.0044583197453688106,0.89383242711227562,10000,0,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,23,8,row_disjoint_complement_map,0.77492699783063501,4,0.33333333333333331,0.53609136022464632,0.5405737209332877,0.0044823607086413864,0.89387658551448257,200,0,0.59139390179059104,0.56338611938031136,0.62759734577087045
DOCKSTRING-58,500,23,10,full_source_map_including_calibration_rows,0.74297401711991518,5,0.33333333333333331,0.50753775223979436,0.51310236660925934,0.0055646143694649819,0.80568874168266769,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,23,10,row_disjoint_complement_map,0.74297401711991518,5,0.33333333333333331,0.50754225498146321,0.51312704778993701,0.005584792808473793,0.80573060302446275,200,0,0.55387998840840746,0.53465384867971577,0.58764197475750179
DOCKSTRING-58,500,24,6,full_source_map_including_calibration_rows,0.62157480229797624,3,0.33333333333333331,0.56629741220678864,0.57486169134182241,0.0085642791350337699,0.91991643054856909,10000,0.00029999999999999997,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,24,6,row_disjoint_complement_map,0.62157480229797624,3,0.33333333333333331,0.56629461835160122,0.574882342328218,0.008587723976616779,0.91992439970370865,200,0,0.62943063067509619,0.59720255040893822,0.67913284200396162
DOCKSTRING-58,500,24,8,full_source_map_including_calibration_rows,0.64256720323418559,4,0.33333333333333331,0.53608801513880355,0.54495495094787127,0.0088669358090677219,0.86970296891965271,10000,0,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,24,8,row_disjoint_complement_map,0.64256720323418559,4,0.33333333333333331,0.5360850711741636,0.54497869746282046,0.008893626288656864,0.86991665616175007,200,0,0.59140204046900147,0.5633902121126908,0.62757302031629625
DOCKSTRING-58,500,24,10,full_source_map_including_calibration_rows,0.70761703356301742,5,0.33333333333333331,0.50753775223979436,0.51602691739441087,0.008489165154616507,0.86970296891965271,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,24,10,row_disjoint_complement_map,0.70761703356301742,5,0.33333333333333331,0.50753344808030942,0.51604984337477466,0.0085163952944652399,0.86991665616175007,200,0,0.55388353751913022,0.53464270233077849,0.58763313501027592
DOCKSTRING-58,500,25,6,full_source_map_including_calibration_rows,0.61068686934722649,3,0.33333333333333331,0.56629741220678864,0.57562396424395579,0.0093265520371671462,0.90540639920206323,10000,0.00029999999999999997,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,25,6,row_disjoint_complement_map,0.61068686934722649,3,0.33333333333333331,0.56625992509905498,0.57562239435298057,0.0093624692539255872,0.90548152802241055,200,0,0.62941405607440737,0.59718410675109268,0.67916902272124069
DOCKSTRING-58,500,25,8,full_source_map_including_calibration_rows,0.79032225760580022,2,0.14285714285714285,0.53608801513880355,0.54998807729924803,0.013900062160444482,0.84255227707466229,10000,0.00059999999999999995,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,25,8,row_disjoint_complement_map,0.79032225760580022,2,0.14285714285714285,0.53605285838303507,0.54999545291861018,0.013942594535575115,0.84249633091955145,200,0,0.59138174153289924,0.56336036157212244,0.62761007358712351
DOCKSTRING-58,500,25,10,full_source_map_including_calibration_rows,0.61190833611986595,4,0.25,0.50753775223979436,0.5186032369661665,0.011065484726372143,0.85313165174393957,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,25,10,row_disjoint_complement_map,0.61190833611986595,4,0.25,0.50750595064584214,0.51861361676701567,0.011107666121173532,0.85320119886392998,200,0,0.55385586895151118,0.53462271205935941,0.58761548228718552
