dataset,calibration_ligands,repetition,reference_scope,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr,reference_abs_top10pct_edges,reference_abs_top10pct_sign_agreement,top_positive_10_intersection,top_positive_10_precision,top_positive_10_recall,top_positive_10_jaccard,top_negative_10_intersection,top_negative_10_precision,top_negative_10_recall,top_negative_10_jaccard,top_positive_25_intersection,top_positive_25_precision,top_positive_25_recall,top_positive_25_jaccard,top_negative_25_intersection,top_negative_25_precision,top_negative_25_recall,top_negative_25_jaccard
Docking-44,200,28,full_source_map_including_calibration_rows,0.92078984103737915,0.079210158962620847,0.1137882310040252,0.86680761099365755,9.3029119427164524,9.5356494400606238,95,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,5,0.5,0.5,0.33333333333333331,16,0.64000000000000001,0.64000000000000001,0.47058823529411764,14,0.56000000000000005,0.56000000000000005,0.3888888888888889
Docking-44,200,28,row_disjoint_complement_map,0.91885571378216435,0.081144286217835648,0.11541533682551891,0.86363636363636365,9.2825649165373623,9.5356494400606238,95,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,5,0.5,0.5,0.33333333333333331,16,0.64000000000000001,0.64000000000000001,0.47058823529411764,14,0.56000000000000005,0.56000000000000005,0.3888888888888889
Docking-44,200,29,full_source_map_including_calibration_rows,0.94050411604990303,0.059495883950096973,0.10930002725809966,0.91966173361522197,9.3029119427164524,8.2690099586643218,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,4,0.40000000000000002,0.40000000000000002,0.25,15,0.59999999999999998,0.59999999999999998,0.42857142857142855,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,29,row_disjoint_complement_map,0.93856009498061488,0.061439905019385121,0.1111630527174306,0.91437632135306557,9.3042337650113431,8.2690099586643218,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,4,0.40000000000000002,0.40000000000000002,0.25,15,0.59999999999999998,0.59999999999999998,0.42857142857142855,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,30,full_source_map_including_calibration_rows,0.96124808480104262,0.038751915198957376,0.10243776683326054,0.93128964059196617,9.3029119427164524,7.1914097136442727,95,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,2,0.20000000000000001,0.20000000000000001,0.1111111111111111,20,0.80000000000000004,0.80000000000000004,0.66666666666666663,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,30,row_disjoint_complement_map,0.95924292903247232,0.040757070967527675,0.10472526581064319,0.92917547568710357,9.3466730436160326,7.1914097136442727,95,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,2,0.20000000000000001,0.20000000000000001,0.1111111111111111,20,0.80000000000000004,0.80000000000000004,0.66666666666666663,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,31,full_source_map_including_calibration_rows,0.9358466243365926,0.064153375663407397,0.10483711288530571,0.88583509513742076,9.3029119427164524,8.9541968637709282,95,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,8,0.80000000000000004,0.80000000000000004,0.66666666666666663,18,0.71999999999999997,0.71999999999999997,0.5625,13,0.52000000000000002,0.52000000000000002,0.35135135135135137
Docking-44,200,31,row_disjoint_complement_map,0.9340435830305921,0.065956416969407905,0.10639442974359586,0.88266384778012685,9.2933575319830002,8.9541968637709282,95,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,8,0.80000000000000004,0.80000000000000004,0.66666666666666663,18,0.71999999999999997,0.71999999999999997,0.5625,13,0.52000000000000002,0.52000000000000002,0.35135135135135137
Docking-44,200,32,full_source_map_including_calibration_rows,0.93236274025056221,0.067637259749437795,0.10736170135061185,0.89323467230443976,9.3029119427164524,9.1773343912027645,95,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,16,0.64000000000000001,0.64000000000000001,0.47058823529411764,13,0.52000000000000002,0.52000000000000002,0.35135135135135137
Docking-44,200,32,row_disjoint_complement_map,0.93051173237317963,0.069488267626820366,0.10911423393622614,0.89006342494714585,9.2895100906694257,9.1773343912027645,95,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,16,0.64000000000000001,0.64000000000000001,0.47058823529411764,12,0.47999999999999998,0.47999999999999998,0.31578947368421051
Docking-44,200,33,full_source_map_including_calibration_rows,0.96074673207356598,0.039253267926434021,0.087337694629303048,0.91226215644820297,9.3029119427164524,8.2864528666447228,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,5,0.5,0.5,0.33333333333333331,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,14,0.56000000000000005,0.56000000000000005,0.3888888888888889
Docking-44,200,33,row_disjoint_complement_map,0.95930433304761031,0.040695666952389686,0.088925484909090455,0.91226215644820297,9.3109865315756632,8.2864528666447228,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,5,0.5,0.5,0.33333333333333331,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,14,0.56000000000000005,0.56000000000000005,0.3888888888888889
