dataset,transformation,tail_fraction_per_side,ligands_per_support,repetition,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr
Docking-44,raw,0.20000000000000001,2530,6,0.99530494581205498,0.0046950541879450247,0.022002530800723022,0.99577167019027479,1.8180990035610629,1.8437732676597054
Docking-44,row_centered_residual,0.20000000000000001,2530,6,0.9882488136902321,0.011751186309767903,0.044158696632045517,0.95665961945031708,9.1287409139824724,9.2847327793054948
Docking-44,raw,0.25,3162,6,0.99743736040978237,0.0025626395902176302,0.013777010292165272,0.9989429175475687,1.8212519335294364,1.8343763687901233
Docking-44,row_centered_residual,0.25,3162,6,0.99357928320380107,0.0064207167961989331,0.033382159425040685,0.96723044397462998,9.1679727417337933,9.1764587001040621
Docking-44,raw,0.29999999999999999,3795,6,0.99678269608772285,0.0032173039122771474,0.012888080264455745,0.9989429175475687,1.8286721521050968,1.8430023203678174
Docking-44,row_centered_residual,0.29999999999999999,3795,6,0.99430653523627655,0.0056934647637234548,0.032550026342806543,0.97251585623678649,9.1650043245900505,9.5515888731675034
Docking-44,raw,0.34999999999999998,4427,6,0.99748546872635169,0.0025145312736483127,0.014313768811223964,1,1.8262889098022377,1.8616342079347543
Docking-44,row_centered_residual,0.34999999999999998,4427,6,0.99525809902765261,0.0047419009723473904,0.029948508443906702,0.97674418604651159,9.1602686937367022,9.5518295693071362
Docking-44,raw,0.40000000000000002,5060,6,0.99784986725386005,0.0021501327461399544,0.013003936838015803,0.9978858350951374,1.8311981751326929,1.8385074446657705
Docking-44,row_centered_residual,0.40000000000000002,5060,6,0.99503745846910296,0.0049625415308970355,0.029464426522116328,0.97568710359408028,9.2454635434141217,9.4053248140308394
Docking-44,raw,0.10000000000000001,1265,7,0.98871773511885486,0.011282264881145143,0.024571085084629195,0.9968287526427061,1.8660450619616196,1.8470816510355825
Docking-44,row_centered_residual,0.10000000000000001,1265,7,0.98053995915541536,0.019460040844584636,0.061938066307396462,0.94186046511627908,8.7248387873594027,9.0778169421505321
Docking-44,raw,0.14999999999999999,1897,7,0.9930630047081016,0.0069369952918983957,0.020312668206202408,0.9978858350951374,1.8582611881035684,1.8899431608525339
Docking-44,row_centered_residual,0.14999999999999999,1897,7,0.98785987907080219,0.012140120929197806,0.049224659022851981,0.95031712473572938,8.7695143333537633,9.1840843249082464
Docking-44,raw,0.20000000000000001,2530,7,0.99443192302896122,0.0055680769710387823,0.017759452719832116,0.9978858350951374,1.8577705788123706,1.8727264685342899
Docking-44,row_centered_residual,0.20000000000000001,2530,7,0.99173269777626238,0.0082673022237376159,0.037898235977720365,0.95983086680761098,8.9791599292217565,9.247680630910855
Docking-44,raw,0.25,3162,7,0.99625794122982292,0.0037420587701770813,0.021345765914009957,0.9978858350951374,1.8697732882693845,1.8201319407779786
Docking-44,row_centered_residual,0.25,3162,7,0.99318737193543771,0.0068126280645622872,0.034697042172444126,0.96617336152219868,8.9574180721474512,9.3007961262312691
Docking-44,raw,0.29999999999999999,3795,7,0.99683354008640701,0.0031664599135929894,0.021942174483227363,0.9989429175475687,1.8744555255114483,1.8041045728777294
Docking-44,row_centered_residual,0.29999999999999999,3795,7,0.99407790024916309,0.0059220997508369067,0.033062868814702953,0.97885835095137419,9.0261192414161364,9.398556257992853
Docking-44,raw,0.34999999999999998,4427,7,0.99702547724452883,0.0029745227554711651,0.020523783084352199,1,1.866767593486125,1.8003177195722442
Docking-44,row_centered_residual,0.34999999999999998,4427,7,0.99414437874200645,0.0058556212579935485,0.032236853443113597,0.97145877378435519,9.1334880205683184,9.3062077003189394
Docking-44,raw,0.40000000000000002,5060,7,0.99726917974505191,0.0027308202549480853,0.023698947369443907,0.9989429175475687,1.8656311122384277,1.7887061667428983
Docking-44,row_centered_residual,0.40000000000000002,5060,7,0.99483514556327091,0.0051648544367290938,0.030565449529063305,0.97568710359408028,9.144114752007086,9.369809247224115
Docking-44,raw,0.10000000000000001,1265,8,0.99096192997128607,0.0090380700287139293,0.028935418392226915,0.9936575052854123,1.9507908495456272,1.9012355461267196
Docking-44,row_centered_residual,0.10000000000000001,1265,8,0.98559559892533044,0.014404401074669559,0.052737530353239991,0.95348837209302328,8.5308473354583256,8.9359793721723655
Docking-44,raw,0.14999999999999999,1897,8,0.99226303739454191,0.0077369626054580865,0.043065510781327247,0.992600422832981,1.9659600001140809,1.8432052839959128
Docking-44,row_centered_residual,0.14999999999999999,1897,8,0.98789110553556403,0.012108894464435971,0.049645557879891743,0.95983086680761098,8.7050287590405855,9.3348899776202714
