dataset,transformation,first_mw_decile,second_mw_decile,decile_separation,first_median_molecular_weight,second_median_molecular_weight,median_mw_separation,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr
Docking-44,row_centered_residual,3,9,6,218.29999999999995,394.55200000000025,176.25200000000029,0.26628101344832261,0.73371898655167733,0.26657881962919461,0.58879492600422834,18.324628588932985,11.850138812263612
Docking-44,row_centered_residual,3,10,7,218.29999999999995,555.875,337.57500000000005,0.16037698975249623,0.83962301024750374,0.28554232913590999,0.55179704016913322,18.324628588932985,11.342921311879712
Docking-44,row_centered_residual,4,5,1,245.32599999999999,270.35399999999998,25.027999999999992,0.92489566048172156,0.07510433951827844,0.068922148456362256,0.87737843551797046,17.788670649367926,17.922620192171063
Docking-44,row_centered_residual,4,6,2,245.32599999999999,294.35800000000012,49.032000000000124,0.81457912327979354,0.18542087672020646,0.11836084986992915,0.84355179704016914,17.788670649367926,16.233816881604483
Docking-44,row_centered_residual,4,7,3,245.32599999999999,318.51000000000005,73.184000000000054,0.67400422677061256,0.32599577322938744,0.15899928513536474,0.7484143763213531,17.788670649367926,15.48416697330293
Docking-44,row_centered_residual,4,8,4,245.32599999999999,349.33200000000011,104.00600000000011,0.51582676087477042,0.48417323912522958,0.20907748207243243,0.68604651162790697,17.788670649367926,13.218470258230443
Docking-44,row_centered_residual,4,9,5,245.32599999999999,394.55200000000025,149.22600000000025,0.38221725121850358,0.61778274878149642,0.24833695741909895,0.64164904862579286,17.788670649367926,11.850138812263612
Docking-44,row_centered_residual,4,10,6,245.32599999999999,555.875,310.54899999999998,0.20771887591955859,0.79228112408044138,0.28163666007911653,0.57293868921775903,17.788670649367926,11.342921311879712
Docking-44,row_centered_residual,5,6,1,270.35399999999998,294.35800000000012,24.004000000000133,0.90533193303262793,0.094668066967372067,0.084364663661139747,0.88583509513742076,17.922620192171063,16.233816881604483
Docking-44,row_centered_residual,5,7,2,270.35399999999998,318.51000000000005,48.156000000000063,0.79989987828695119,0.20010012171304881,0.12483723297029781,0.79704016913319242,17.922620192171063,15.48416697330293
Docking-44,row_centered_residual,5,8,3,270.35399999999998,349.33200000000011,78.978000000000122,0.63647200055932629,0.36352799944067371,0.18099553641010394,0.72621564482029599,17.922620192171063,13.218470258230443
Docking-44,row_centered_residual,5,9,4,270.35399999999998,394.55200000000025,124.19800000000026,0.49099206854173583,0.50900793145826417,0.22564695412850058,0.66279069767441856,17.922620192171063,11.850138812263612
Docking-44,row_centered_residual,5,10,5,270.35399999999998,555.875,285.52100000000002,0.25192756976848718,0.74807243023151282,0.27429638029171816,0.59196617336152224,17.922620192171063,11.342921311879712
Docking-44,row_centered_residual,6,7,1,294.35800000000012,318.51000000000005,24.15199999999993,0.93305877999279407,0.066941220007205926,0.071210083277388841,0.87315010570824525,16.233816881604483,15.48416697330293
Docking-44,row_centered_residual,6,8,2,294.35800000000012,349.33200000000011,54.97399999999999,0.81623180129110717,0.18376819870889283,0.12810457616879165,0.80021141649048622,16.233816881604483,13.218470258230443
Docking-44,row_centered_residual,6,9,3,294.35800000000012,394.55200000000025,100.19400000000013,0.6576325158923817,0.3423674841076183,0.1873327148934642,0.7367864693446089,16.233816881604483,11.850138812263612
Docking-44,row_centered_residual,6,10,4,294.35800000000012,555.875,261.51699999999988,0.30948565526301824,0.6905143447369817,0.27066888363095293,0.61522198731501054,16.233816881604483,11.342921311879712
Docking-44,row_centered_residual,7,8,1,318.51000000000005,349.33200000000011,30.82200000000006,0.92427084769610712,0.075729152303892877,0.084510194080125015,0.88689217758985206,15.48416697330293,13.218470258230443
