dataset,transformation,repetition,chemical_groups_in_extremes,weighted_low_ligand_rows,weighted_high_ligand_rows,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,row_centered_residual,186,4538,3151,3205,0.2050407990488047,0.7949592009511953,0.4312896405919662,0.07954545454545454,13.872478384969348,10.147448327529728,-0.011814194855263879,0.0013858050423709183,0.17188029107368857,0.23370127273677102
Docking-44,group_heldout_descriptor_adjusted_residual,186,4538,3151,3205,0.5156458089686645,0.4843541910313355,0.29704016913319237,0.24183006535947713,11.164717528296764,12.848313896352252,-0.013150051418070567,0.001281974306144134,0.21871196697030787,0.19896468657948177
Docking-44,raw,187,4538,3142,3041,0.21385909316461116,0.7861409068353888,0.0306553911205074,0.03825136612021858,1.1783445950647153,3.16048817579935,0.9158214436327163,0.48191147262309636,0.9158214436327163,0.4866767898436314
Docking-44,row_centered_residual,187,4538,3142,3041,0.19030821534198167,0.8096917846580183,0.4418604651162791,0.07344632768361582,13.501694935797342,9.642008252187972,-0.012208091848448876,-2.33822518635398e-05,0.1768724493725641,0.2418777913612826
Docking-44,group_heldout_descriptor_adjusted_residual,187,4538,3142,3041,0.4770625847171118,0.5229374152828882,0.3118393234672304,0.1949685534591195,10.762055354713151,12.094265782839042,-0.013532802191136093,0.0005270962499526174,0.2245042556813467,0.20925248932472473
Docking-44,raw,188,4538,3207,3349,0.2030809875656515,0.7969190124343485,0.02959830866807611,0.03260869565217391,1.190111081977917,3.182513895429547,0.9107221857151679,0.48199400473331266,0.9107221857151679,0.48594157144016864
Docking-44,row_centered_residual,188,4538,3207,3349,0.1844385613104456,0.8155614386895544,0.4365750528541226,0.08571428571428572,13.927398472820913,9.868899871293696,-0.01147496548270044,-0.0012230096377348445,0.1723258215594468,0.23759854574985095
Docking-44,group_heldout_descriptor_adjusted_residual,188,4538,3207,3349,0.4705727387930673,0.5294272612069326,0.3033826638477801,0.1949685534591195,11.183086384550927,12.133546449452446,-0.013441836930258497,5.6981172930423205e-05,0.21814848276463414,0.20822135110000994
Docking-44,raw,189,4538,3184,3048,0.23298088746874382,0.7670191125312562,0.024312896405919663,0.061452513966480445,1.195089142904855,2.960206753266673,0.9083622129567699,0.5060438366233093,0.9083622129567699,0.5102707976575368
Docking-44,row_centered_residual,189,4538,3184,3048,0.21410071201088118,0.7858992879891188,0.43446088794926,0.07954545454545454,13.681937051277256,10.32415571371641,-0.011195845927542566,-3.666940144147107e-05,0.17461806352509784,0.23252476896019844
Docking-44,group_heldout_descriptor_adjusted_residual,189,4538,3184,3048,0.5032130692748065,0.49678693072519353,0.3023255813953488,0.1949685534591195,11.172658172043084,13.059070477186983,-0.012329143310555048,0.00011329457060124394,0.21826765787462526,0.19665361001899256
Docking-44,raw,190,4538,3195,3253,0.22486202080514595,0.775137979194854,0.03805496828752643,0.049723756906077346,1.1842697998315468,2.972980610321984,0.9134087513651049,0.4973947440476601,0.9134087513651049,0.5030216027108187
Docking-44,row_centered_residual,190,4538,3195,3253,0.19765204767046568,0.8023479523295343,0.4323467230443975,0.06741573033707865,13.482991082931836,9.66384194406563,-0.012193215464974528,0.0023048629154913684,0.1766156301238008,0.24303670471124172
Docking-44,group_heldout_descriptor_adjusted_residual,190,4538,3195,3253,0.4683979565588563,0.5316020434411437,0.3097251585623679,0.1875,10.822163303796446,12.611413075618733,-0.013902695252977276,0.0017398237196443514,0.22372702721024415,0.2035526935224908
Docking-44,raw,191,4538,3154,3080,0.23796525775848484,0.7620347422415151,0.024312896405919663,0.049723756906077346,1.1882461361071541,2.864817419662327,0.911787663018597,0.5185102852431672,0.911787663018597,0.5232225512769724
Docking-44,row_centered_residual,191,4538,3154,3080,0.1955064507703195,0.8044935492296805,0.42389006342494717,0.07954545454545454,13.739778168506652,10.212361100547081,-0.012538265454606432,0.001512452516977728,0.17436118933734465,0.2354275689772914
Docking-44,group_heldout_descriptor_adjusted_residual,191,4538,3154,3080,0.4756706895013911,0.5243293104986089,0.3044397463002114,0.1949685534591195,11.12209377906773,12.939588432099706,-0.013567862855137282,0.0010635038385996072,0.21882600338356423,0.20026235654510138
Docking-44,raw,192,4538,3226,3165,0.21491620042245022,0.7850837995775498,0.02854122621564482,0.061452513966480445,1.1876974400305211,2.9033694725333508,0.9119387609613214,0.5094720434601242,0.9119387609613214,0.5130395056733219
Docking-44,row_centered_residual,192,4538,3226,3165,0.19161224271609573,0.8083877572839042,0.427061310782241,0.07954545454545454,13.678963017972812,9.658351902033248,-0.012171978973640475,0.004035186079115808,0.1738153684561118,0.2419722555903915
Docking-44,group_heldout_descriptor_adjusted_residual,192,4538,3226,3165,0.49323649018646676,0.5067635098135332,0.29915433403805497,0.1875,10.984087706117496,12.18723017880746,-0.013235172824836366,0.003642813965392788,0.22071003461311364,0.20772459648048358
Docking-44,raw,193,4538,3141,3348,0.21614944025002714,0.7838505597499729,0.026427061310782242,0.05555555555555555,1.196634013930272,2.9722671784297705,0.9079835520439709,0.5041509772694943,0.9079835520439709,0.509560915310604
Docking-44,row_centered_residual,193,4538,3141,3348,0.2035197172693796,0.7964802827306204,0.41966173361522197,0.08571428571428572,13.912669242859767,10.294972270730769,-0.011728726435357249,-0.0001315929667540943,0.17324533479000134,0.2327272218189071
Docking-44,group_heldout_descriptor_adjusted_residual,193,4538,3141,3348,0.47080999188756845,0.5291900081124316,0.30761099365750527,0.1875,11.229453400530167,12.834527788521415,-0.01299171235592051,-0.0011747117208576678,0.21734616326705783,0.19910455452333498
Docking-44,raw,194,4538,3150,3021,0.24225306384880063,0.7577469361511994,0.022198731501057084,0.03825136612021858,1.1890913853449767,3.110096466205179,0.9111824480678853,0.4913657444565629,0.9111824480678853,0.4956676872454532
Docking-44,row_centered_residual,194,4538,3150,3021,0.20173155920804553,0.7982684407919545,0.42177589852008457,0.08571428571428572,13.664034357452802,9.868361073368689,-0.011842997282189242,-0.0008108266301479956,0.17515148988302054,0.23780454408078855
