dataset,transformation,repetition,first_ligands,second_ligands,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,row_centered_residual,263,3163,3163,0.9892772742457181,0.010722725754281903,0.04334038054968287,0.7924528301886793,9.120402279870413,9.813998030444221,0.0037729128391390033,0.001809066933198479,0.24840279287564887,0.2367093797523271
Docking-44,group_heldout_descriptor_adjusted_residual,263,3163,3163,0.970739597683926,0.029260402316073963,0.06553911205073996,0.6521739130434783,14.458216250393725,15.256693061496769,-0.003452869659956998,-0.005063378706113333,0.1824777294759473,0.17389220945619613
Docking-44,raw,264,3163,3163,0.9945597488388676,0.005440251161132448,0.0010570824524312897,0.8269230769230769,1.7934290109243067,1.8484539695559912,0.6938708620773384,0.6795702587277433,0.7029587565668977,0.6913223942450417
Docking-44,row_centered_residual,264,3163,3163,0.9904935613488938,0.00950643865110623,0.045454545454545456,0.8269230769230769,9.025579324020535,9.25334007591774,0.005551324918136862,0.0034562841706808275,0.25031388140099703,0.24526416592747027
Docking-44,group_heldout_descriptor_adjusted_residual,264,3163,3163,0.9806573666940551,0.01934263330594488,0.048625792811839326,0.6964285714285714,14.917703741152856,14.656088381566141,-0.003509057435496679,-0.004211538107084875,0.1788202561420251,0.18022105826079785
Docking-44,raw,265,3163,3163,0.9946636055376016,0.005336394462398419,0.003171247357293869,0.7117117117117117,1.8136879770846868,1.8300151459827805,0.6899715087665946,0.685673070260081,0.697721013062625,0.6969821749710946
Docking-44,row_centered_residual,265,3163,3163,0.9896386819497743,0.010361318050225665,0.0412262156448203,0.7924528301886793,9.291293547848358,9.829022372518594,0.004280449869281076,-8.909846729095111e-05,0.24522451290427585,0.2368660876322669
Docking-44,group_heldout_descriptor_adjusted_residual,265,3163,3163,0.9740616796386546,0.025938320361345357,0.0708245243128964,0.6521739130434783,15.02867413107599,14.263558107188432,-0.004784838691025734,-0.0061110014040046115,0.17765471480591796,0.1834645542465778
Docking-44,raw,266,3163,3163,0.9955205118928995,0.004479488107100527,0.0,0.8627450980392157,1.8841570100546512,1.8605625165368953,0.6738407687110817,0.6785832568102497,0.6822279160136884,0.6897182972418596
Docking-44,row_centered_residual,266,3163,3163,0.9922692033101893,0.007730796689810693,0.02959830866807611,0.8811881188118812,9.198351697969635,9.552609906793473,0.003206284871969625,0.0018968626826430213,0.24857392275387794,0.24071814732794555
Docking-44,group_heldout_descriptor_adjusted_residual,266,3163,3163,0.9828064788748463,0.01719352112515371,0.046511627906976744,0.6521739130434783,14.33520374562208,14.755305653154286,-0.003273286973872416,-0.005233271907946069,0.1843315962366809,0.17918703562629668
Docking-44,raw,267,3163,3163,0.9951893526118126,0.004810647388187372,0.0010570824524312897,0.7592592592592593,1.800308203652556,1.8370240185028979,0.6939790578373514,0.6863556056236587,0.7028876252944958,0.694672144516015
Docking-44,row_centered_residual,267,3163,3163,0.9912764908909403,0.008723509109059724,0.045454545454545456,0.8627450980392157,9.208258378494223,9.503473561112886,0.00190363450633128,0.00142916042280275,0.2485447452270748,0.24294494464444338
Docking-44,group_heldout_descriptor_adjusted_residual,267,3163,3163,0.9815237558023835,0.01847624419761651,0.06342494714587738,0.6814159292035398,14.368184983457486,14.25884547486759,-0.005646813688715175,-0.004448411050055503,0.18412300999940365,0.18542106149384963
Docking-44,raw,268,3163,3163,0.9950112781330088,0.004988721866991175,0.003171247357293869,0.7924528301886793,1.8305249920235285,1.8497990263983155,0.6872591036939135,0.6827226051486321,0.6966616362524806,0.6917527893747664
Docking-44,row_centered_residual,268,3163,3163,0.9903944814629718,0.00960551853702818,0.035940803382663845,0.8269230769230769,9.321720364884039,9.202591101289796,0.0017903177003797564,0.0023590455522319205,0.24568661869800656,0.24814328388592477
Docking-44,group_heldout_descriptor_adjusted_residual,268,3163,3163,0.9811806757510446,0.018819324248955382,0.05813953488372093,0.7117117117117117,14.523535308917165,14.78935795635485,-0.0043259186031173675,-0.005139759456318256,0.18155889101232908,0.17986638314172498
Docking-44,raw,269,3163,3163,0.9962776296363387,0.003722370363661298,0.0010570824524312897,0.7431192660550459,1.846662148158785,1.8229354227327608,0.6817235845906549,0.6882092749065261,0.6917132608907597,0.6975632150845187
Docking-44,row_centered_residual,269,3163,3163,0.9929013868455433,0.007098613154456701,0.035940803382663845,0.8446601941747572,9.201747554937887,9.493367310608681,0.0028316775983924718,0.0015771167330266493,0.246821755377023,0.24223597880312012
Docking-44,group_heldout_descriptor_adjusted_residual,269,3163,3163,0.9743989481373141,0.02560105186268591,0.06025369978858351,0.6379310344827587,14.303102342977855,14.83977289173645,-0.004008105363342151,-0.0055771089281746,0.18470846383475126,0.17789240777376417
Docking-44,raw,270,3163,3163,0.9958521672821418,0.004147832717858235,0.0010570824524312897,0.7757009345794392,1.827416769653761,1.804583471777141,0.6871495652892115,0.6926174837149359,0.6962062275451826,0.7025393344173813
Docking-44,row_centered_residual,270,3163,3163,0.9939146381424321,0.006085361857567917,0.03488372093023256,0.8627450980392157,9.697902658737277,9.092426824726076,0.0024508359952127336,0.002388916275138127,0.23924477886827555,0.2494163326916642
Docking-44,group_heldout_descriptor_adjusted_residual,270,3163,3163,0.9836130089905782,0.01638699100942176,0.049682875264270614,0.7431192660550459,15.106511692999453,14.194504346971817,-0.0051069402419116625,-0.004515794968833728,0.17578245561032654,0.1851603624535279
Docking-44,raw,271,3163,3163,0.9946020314282389,0.005397968571761114,0.0021141649048625794,0.7592592592592593,1.8547268696344574,1.8305506605386181,0.6797704222390564,0.685329855375981,0.6888434506807544,0.6957349897737484
Docking-44,row_centered_residual,271,3163,3163,0.9914934035510641,0.008506596448935921,0.03699788583509514,0.8446601941747572,9.286352689556058,9.12620712671591,0.0035627717343028427,0.002643674465052465,0.24517092731725668,0.24825980651436402
Docking-44,group_heldout_descriptor_adjusted_residual,271,3163,3163,0.9827501776864511,0.01724982231354888,0.05496828752642706,0.7272727272727273,14.866284820194442,13.975892111761345,-0.0040469553286874545,-0.00430345585397035,0.17839839425443663,0.18675049777776512
Docking-44,raw,272,3163,3163,0.9961655233677039,0.00383447663229608,0.0021141649048625794,0.7592592592592593,1.8118116309434626,1.8074389848739163,0.6883912565561412,0.6902163655410105,0.6981824678241306,0.6995893025712775
Docking-44,row_centered_residual,272,3163,3163,0.9903991874031901,0.009600812596809893,0.045454545454545456,0.8627450980392157,9.080889694908254,9.440978293879562,0.005028778468293181,0.00279206972824215,0.25034680975402906,0.24297711452622991
Docking-44,group_heldout_descriptor_adjusted_residual,272,3163,3163,0.9826335355718229,0.01736646442817713,0.05496828752642706,0.6239316239316239,14.6957688702748,14.576563810729702,-0.0043774523613736285,-0.0038061547390863142,0.18031116366013347,0.1811178695807128
Docking-44,raw,273,3163,3163,0.997058886585175,0.0029411134148249474,0.003171247357293869,0.8095238095238095,1.8022274724521572,1.8183218443435292,0.6930381913606223,0.689745591272371,0.7035506159900785,0.6976027134061007
Docking-44,row_centered_residual,273,3163,3163,0.9916175298115819,0.00838247018841809,0.03699788583509514,0.8446601941747572,9.476188453644445,9.309681985888371,0.0018926406320885106,0.002747645126631682,0.2432860669902556,0.24598499858865824
Docking-44,group_heldout_descriptor_adjusted_residual,273,3163,3163,0.9794644108487087,0.020535589151291278,0.06342494714587738,0.6964285714285714,14.482974879786637,14.73549698542561,-0.004993032036439918,-0.005385842009319107,0.1824809436329626,0.179617408108778
Docking-44,raw,274,3163,3163,0.9937304119224994,0.006269588077500554,0.0010570824524312897,0.7272727272727273,1.8120574859361367,1.873990847451485,0.6899200946167077,0.6775004871245143,0.6986838499042933,0.6857674760273481
Docking-44,row_centered_residual,274,3163,3163,0.9894727833825594,0.010527216617440605,0.046511627906976744,0.8446601941747572,9.163587097477855,9.244565354522935,0.004263295210990574,0.0009557279514706508,0.2478107080015386,0.2481601460337347
Docking-44,group_heldout_descriptor_adjusted_residual,274,3163,3163,0.9765852400807337,0.023414759919266337,0.0613107822410148,0.6666666666666666,15.071412763057898,13.91845714139165,-0.004509371635522192,-0.00477403991047675,0.17698665100458713,0.1879187838336464
Docking-44,raw,275,3163,3163,0.9939258643612662,0.006074135638733824,0.003171247357293869,0.7757009345794392,1.849216134450566,1.845294087038445,0.682839429176026,0.6799278908432398,0.6909984816618973,0.6907267800591365
Docking-44,row_centered_residual,275,3163,3163,0.9910582600005745,0.008941739999425491,0.039112050739957716,0.7924528301886793,9.321331596117405,8.66104766112052,0.0009523914375881374,0.005147252342711278,0.24568767261667337,0.2577416032004926
Docking-44,group_heldout_descriptor_adjusted_residual,275,3163,3163,0.9749580053305402,0.025041994669459777,0.0507399577167019,0.6814159292035398,14.198595173931135,14.340913296689594,-0.005452191449000243,-0.0019693944341479604,0.18465568478225772,0.18458453495020313
Docking-44,raw,276,3163,3163,0.9949865152487877,0.005013484751212327,0.0010570824524312897,0.7757009345794392,1.8831612270900338,1.8338813698977856,0.6750147702010709,0.6863512075949981,0.6840679760971028,0.6958317936552151
Docking-44,row_centered_residual,276,3163,3163,0.9919334373105153,0.008066562689484691,0.03276955602536998,0.8446601941747572,9.259796808942937,9.80988515542911,0.0020996110798031874,0.0006115360847420074,0.2476003061924436,0.23642318697933315
Docking-44,group_heldout_descriptor_adjusted_residual,276,3163,3163,0.9831580069393482,0.016841993060651816,0.04439746300211417,0.6964285714285714,14.760204857347004,14.575634358734906,-0.004301392675386593,-0.005807657142521179,0.1797787568791358,0.18080708722631528
Docking-44,raw,277,3163,3163,0.9958470644553992,0.004152935544600833,0.0010570824524312897,0.6666666666666666,1.8448913817809398,1.8382540051211038,0.6840093095181042,0.683527929896042,0.6915508467243802,0.6930988246965775
Docking-44,row_centered_residual,277,3163,3163,0.9922687355510713,0.0077312644489286875,0.03276955602536998,0.8095238095238095,9.24382822266343,8.977869846656667,0.002242094306766287,0.004205685629520837,0.24791850021299552,0.2516156997426602
Docking-44,group_heldout_descriptor_adjusted_residual,277,3163,3163,0.9783613498011475,0.02163865019885247,0.06342494714587738,0.6379310344827587,14.747995010892833,14.587200533234558,-0.00444004470820902,-0.004217792803311893,0.18004447186544176,0.18128816156461128
Docking-44,raw,278,3163,3163,0.9948466127489233,0.005153387251076724,0.0021141649048625794,0.8095238095238095,1.8612426166258453,1.8223914016383613,0.6778653893406413,0.6872544312707598,0.6881883835645639,0.6951877443313578
Docking-44,row_centered_residual,278,3163,3163,0.9911715002307079,0.00882849976929212,0.040169133192389,0.8627450980392157,9.196414315051454,9.027838426930535,0.002797946346652568,0.0045759416672848515,0.24644702218518316,0.2503200356452409
Docking-44,group_heldout_descriptor_adjusted_residual,278,3163,3163,0.9771021280807385,0.022897871919261514,0.0613107822410148,0.6239316239316239,14.54369254559806,14.81565878644349,-0.004501968589387824,-0.00400766536102644,0.18148987895017404,0.1790394443511443
Docking-44,raw,279,3163,3163,0.9947016499458726,0.0052983500541273765,0.0021141649048625794,0.7431192660550459,1.8675357704278015,1.8115233518071376,0.6768720460656289,0.691656750118288,0.6866757212987354,0.7002421470543753
Docking-44,row_centered_residual,279,3163,3163,0.9920636019160123,0.007936398083987717,0.040169133192389,0.8446601941747572,9.036582346577557,9.543527623273974,0.0031637196676037403,0.002752931529204919,0.25174728129633206,0.24068256984331077
Docking-44,group_heldout_descriptor_adjusted_residual,279,3163,3163,0.9827752665846032,0.017224733415396765,0.06025369978858351,0.6964285714285714,13.969428192639294,15.387882906786748,-0.00321842266245421,-0.005013743145026234,0.1883476188523343,0.17291686419889093
Docking-44,raw,280,3163,3163,0.995462070352176,0.004537929647823957,0.0010570824524312897,0.7924528301886793,1.8064685434059842,1.8209050586156073,0.6906849314685732,0.6878932377884122,0.7000802022452015,0.696773364993657
Docking-44,row_centered_residual,280,3163,3163,0.992712057798868,0.007287942201132047,0.03699788583509514,0.8269230769230769,9.114670387650122,9.258607311245624,0.0034383995034987245,0.004279488493261585,0.24991198570502898,0.2455822881434517
Docking-44,group_heldout_descriptor_adjusted_residual,280,3163,3163,0.9818507477749636,0.018149252225036383,0.06025369978858351,0.6814159292035398,14.577478819837728,14.870454811834497,-0.005372684266066881,-0.0030961218375801483,0.18178428991370407,0.17897223551215394
Docking-44,raw,281,3163,3163,0.9942995330240237,0.005700466975976259,0.003171247357293869,0.7924528301886793,1.7728573655945068,1.8407683998074813,0.6983990705126553,0.6823960059629474,0.7079354921020503,0.6923411425845702
Docking-44,row_centered_residual,281,3163,3163,0.9886837304484217,0.011316269551578273,0.052854122621564484,0.8269230769230769,9.412521946149575,8.904651823576271,0.005201864667609238,0.0034179259161480156,0.2434488897564454,0.2527474751986994
