calibration_ligands,repetition,covariance_estimator,selected_k,selected_cumulative_trace_fraction,geometry_spearman_to_full,locked_k,mean_squared_canonical_correlation,minimum_canonical_correlation,maximum_principal_angle_degrees,sample_full_roc_auc,sample_full_average_precision,selected_kernel_roc_auc,selected_kernel_average_precision,selected_unit_diagonal_roc_auc,selected_unit_diagonal_average_precision,locked_kernel_roc_auc,locked_kernel_average_precision,locked_unit_diagonal_roc_auc,locked_unit_diagonal_average_precision
100,20,empirical,4,0.512009670808643,0.874551999545111,5,0.731965870761181,0.487942958441988,60.7945323575617,0.627428571428571,0.274988521449632,0.615238095238095,0.172831754365585,0.622857142857143,0.210232612486892,0.635047619047619,0.300162869202808,0.626285714285714,0.198001813700314
100,20,OAS,5,0.524746364490526,0.877547271319661,5,0.730199096599719,0.48375363024462,61.069154115511,0.629333333333333,0.24280914683498,0.634285714285714,0.308302822576917,0.623238095238095,0.196811622908431,0.634285714285714,0.308302822576917,0.623238095238095,0.196811622908431
100,21,empirical,5,0.54663029150985,0.859082260625386,5,0.722692105616337,0.248665602677022,75.6014365252649,0.722666666666667,0.324109766825923,0.712761904761905,0.287081505942425,0.710095238095238,0.261043057880441,0.712761904761905,0.287081505942425,0.710095238095238,0.261043057880441
100,21,OAS,6,0.540383429737178,0.863520931473535,5,0.723248800284046,0.250984151757021,75.464243150557,0.721904761904762,0.325539307775116,0.733714285714286,0.294562181040001,0.729904761904762,0.287841645884241,0.714666666666667,0.263973247136048,0.712761904761905,0.253494244161325
100,22,empirical,4,0.503359641046814,0.870947875797697,5,0.6919410454636,0.346450322916747,69.7296459666125,0.675047619047619,0.246925047213747,0.707047619047619,0.228231336090595,0.711238095238095,0.189055241800068,0.693333333333333,0.265379741238531,0.687619047619048,0.170828070284048
100,22,OAS,5,0.513746300767537,0.872529491267436,5,0.692203805812028,0.344834190039411,69.8283255578607,0.67352380952381,0.213443659552847,0.692952380952381,0.274752472853657,0.684190476190476,0.169075649451203,0.692952380952381,0.274752472853657,0.684190476190476,0.169075649451203
100,23,empirical,5,0.564212172464301,0.885507835907395,5,0.802316188864681,0.547326162017536,56.8162308109358,0.694857142857143,0.231986556943017,0.721142857142857,0.242289398609495,0.717714285714286,0.225652623761529,0.721142857142857,0.242289398609495,0.717714285714286,0.225652623761529
100,23,OAS,5,0.509338105180969,0.88721542075083,5,0.797971821370028,0.526834200752199,58.2081969838914,0.69447619047619,0.235589483699858,0.723428571428571,0.24755154592517,0.721142857142857,0.230476108447706,0.723428571428571,0.24755154592517,0.721142857142857,0.230476108447706
100,24,empirical,4,0.514340864452281,0.855047741517844,5,0.731221014834253,0.518406013967371,58.7746093216853,0.69752380952381,0.359335522296832,0.703238095238095,0.288103347659909,0.698285714285714,0.283241584803535,0.679619047619048,0.291102686397517,0.671238095238095,0.233662054420904
100,24,OAS,5,0.538090930665325,0.857728089858153,5,0.730754444799741,0.514548646476474,59.0327093396929,0.699428571428571,0.361284292879029,0.679238095238095,0.302178127825721,0.670095238095238,0.233309871377111,0.679238095238095,0.302178127825721,0.670095238095238,0.233309871377111
100,25,empirical,5,0.552551272983076,0.879029161035223,5,0.67100216048644,0.441635115614333,63.7917454358922,0.72952380952381,0.270851206960122,0.730285714285714,0.281294311523085,0.727238095238095,0.260257483474191,0.730285714285714,0.281294311523085,0.727238095238095,0.260257483474191
