evaluation_identity,representation,roc_auc,average_precision
XGMKXFYSDRBOQV-UHFFFAOYSA-N,absolute_vina,0.475,0.08333333333333333
XNOBOZRCPWKBSS-UHFFFAOYSA-N,absolute_vina,0.9,0.25
XWODEDHTMYVLNJ-SNVBAGLBSA-N,absolute_vina,0.09999999999999998,0.05263157894736842
XYASHXPUZJDWIO-UHFFFAOYSA-N,absolute_vina,0.30000000000000004,0.06666666666666667
XYKNCRFMAKMJKI-UHFFFAOYSA-N,absolute_vina,1.0,1.0
YDRWIFAFQIMEOP-UHFFFAOYSA-N,absolute_vina,0.3,0.0625
YJFKREHADGLMHG-UHFFFAOYSA-N,absolute_vina,0.4409090909090909,0.4821436947984936
YOELZIQOLWZLQC-UHFFFAOYSA-N,absolute_vina,0.875,0.25
YVFNRXBPVWUZRV-UHFFFAOYSA-N,absolute_vina,,
YVNIOYKTDJGJGM-UHFFFAOYSA-N,absolute_vina,,
YXAQBFXRVSBMEL-UHFFFAOYSA-N,absolute_vina,0.04999999999999999,0.047619047619047616
YYZTVTZCYVZGRB-UHFFFAOYSA-N,absolute_vina,0.9249999999999999,0.3333333333333333
ZNCKHZJGGNFHHC-UHFFFAOYSA-N,absolute_vina,0.6323529411764706,0.4908008658008658
ZOLVPLVVVCAWCK-UHFFFAOYSA-N,absolute_vina,0.425,0.07692307692307693
ZOTNSCLLJKXGSD-UHFFFAOYSA-N,absolute_vina,0.45,0.2706349206349206
ZRDJTQFOUXSKBC-UHFFFAOYSA-N,absolute_vina,0.725,0.14285714285714285
ZTWJDVNPCLUQPU-UHFFFAOYSA-N,absolute_vina,0.8999999999999999,0.25
ZZAALKZEEDABCI-UHFFFAOYSA-N,absolute_vina,,
AHJRHEGDXFFMBM-UHFFFAOYSA-N,target_centered_unscaled,,
AJLPDJZYNSSQJO-UHFFFAOYSA-N,target_centered_unscaled,0.48888888888888893,0.3009934023091918
ANERBUIPYRATIP-VLIAUNLRSA-N,target_centered_unscaled,,
AQJWACKPYCXBCF-SFHVURJKSA-N,target_centered_unscaled,0.5444444444444444,0.5739010989010989
ASKIKAANLSSJGL-UHFFFAOYSA-N,target_centered_unscaled,0.65,0.125
ASUBFYXRDNJNOB-UHFFFAOYSA-N,target_centered_unscaled,,
AXWDQRXGOKDXJT-UHFFFAOYSA-N,target_centered_unscaled,1.0,1.0
BAVKHKJJAGWXBX-UHFFFAOYSA-N,target_centered_unscaled,0.48148148148148145,0.18226120857699804
BBQOARXEMKNYLC-UHFFFAOYSA-N,target_centered_unscaled,,
BSBQPLUISHJULY-UHFFFAOYSA-N,target_centered_unscaled,0.21428571428571427,0.2507216921856462
BURBAFXROHRDAV-UHFFFAOYSA-N,target_centered_unscaled,0.7,0.14285714285714285
BVFBTDPKGZCIBA-UHFFFAOYSA-N,target_centered_unscaled,0.537037037037037,0.22777777777777775
CCZQCOZJIRYKNS-UHFFFAOYSA-N,target_centered_unscaled,,
CNJVEOVFYHCDGZ-UHFFFAOYSA-N,target_centered_unscaled,,
COKWOGHRTHBMJL-UHFFFAOYSA-N,target_centered_unscaled,0.4558823529411764,0.21666666666666667
CXEXTPDLKDYOMC-UHFFFAOYSA-N,target_centered_unscaled,0.55,0.1
CYGVOJDKMSFPSA-UHFFFAOYSA-N,target_centered_unscaled,0.5,0.4125
DANPUZSWWCDWEM-UHFFFAOYSA-N,target_centered_unscaled,0.5263157894736843,0.55
DIJIJDANNOSBAG-LLVKDONJSA-N,target_centered_unscaled,0.30000000000000004,0.06666666666666667
DJNZZLZKAXGMMC-UHFFFAOYSA-N,target_centered_unscaled,0.6842105263157894,0.19444444444444442
DKXHSOUZPMHNIZ-UHFFFAOYSA-N,target_centered_unscaled,0.5185185185185185,0.18097643097643099
DKXUHTCPDJKABE-UHFFFAOYSA-N,target_centered_unscaled,0.25,0.0625
DTRYLKVJZPTTIX-UHFFFAOYSA-N,target_centered_unscaled,0.27941176470588236,0.18357843137254903
DUACVOORSOOZRH-UHFFFAOYSA-N,target_centered_unscaled,0.4117647058823529,0.39761904761904765
DWBXNQKRJAOIHK-NRFANRHFSA-N,target_centered_unscaled,0.5789473684210527,0.16025641025641024
FAICIPSJBXCWEZ-UHFFFAOYSA-N,target_centered_unscaled,0.6851851851851851,0.27136752136752135
FBHNLBFMQWTPTN-WBVHZDCISA-N,target_centered_unscaled,,
FISKNRRMNMXILF-UHFFFAOYSA-N,target_centered_unscaled,0.39999999999999997,0.3868814192343604
FLUPOKVTJQLXSE-UHFFFAOYSA-N,target_centered_unscaled,0.2636363636363636,0.37356134878193703
FMTCKHIVPRUMEG-UHFFFAOYSA-N,target_centered_unscaled,0.09999999999999998,0.05263157894736842
FOHZGCHKLPIBBX-UHFFFAOYSA-N,target_centered_unscaled,0.8,0.2
FTHCHPDGJBUELK-UHFFFAOYSA-N,target_centered_unscaled,0.5263157894736842,0.13942307692307693
FUWKNYZEQAGYBA-UHFFFAOYSA-N,target_centered_unscaled,,
GALNGZPXDPAWDR-QGZVFWFLSA-N,target_centered_unscaled,0.6470588235294117,0.3339285714285714
GBRORGYPYNNDGL-UHFFFAOYSA-N,target_centered_unscaled,0.42105263157894735,0.11666666666666667
GFMMXOIFOQCCGU-UHFFFAOYSA-N,target_centered_unscaled,,
GIWGYHXKKYZEQA-UHFFFAOYSA-N,target_centered_unscaled,0.368421052631579,0.13095238095238093
