deleted_target,endpoint,experimental_margin_name,representation,estimate,evaluated_ligands,evaluated_pairs
EGFR,pairwise_concordance,absolute_difference_gt_10,absolute_vina,0.5110020596296309,154,14503
EGFR,pairwise_concordance,absolute_difference_gt_20,absolute_vina,0.5312011643823816,150,10255
EGFR,roc_auc,,absolute_vina,0.5462221966824791,119,4934
EGFR,average_precision,,absolute_vina,0.27578617532544325,119,4934
EGFR,pairwise_concordance,exact_non_ties,target_centered_unscaled,0.5170760823066903,154,22053
EGFR,pairwise_concordance,absolute_difference_gt_5,target_centered_unscaled,0.5211102033555333,154,17830
EGFR,pairwise_concordance,absolute_difference_gt_10,target_centered_unscaled,0.523417148175888,154,14503
EGFR,pairwise_concordance,absolute_difference_gt_20,target_centered_unscaled,0.538160172623464,150,10255
EGFR,roc_auc,,target_centered_unscaled,0.5634373716271529,119,4934
EGFR,average_precision,,target_centered_unscaled,0.30628734218547177,119,4934
EGFR,pairwise_concordance,exact_non_ties,column_standardized,0.51803755327815,154,22053
EGFR,pairwise_concordance,absolute_difference_gt_5,column_standardized,0.5210559620068484,154,17830
EGFR,pairwise_concordance,absolute_difference_gt_10,column_standardized,0.5232574390359898,154,14503
EGFR,pairwise_concordance,absolute_difference_gt_20,column_standardized,0.5377372428742279,150,10255
EGFR,roc_auc,,column_standardized,0.5612819090430343,119,4934
EGFR,average_precision,,column_standardized,0.3015831242154289,119,4934
EGFR,pairwise_concordance,exact_non_ties,target_centered_residual_scaled,0.504305955153781,154,22053
EGFR,pairwise_concordance,absolute_difference_gt_5,target_centered_residual_scaled,0.5054632112343497,154,17830
EGFR,pairwise_concordance,absolute_difference_gt_10,target_centered_residual_scaled,0.506706854079677,154,14503
EGFR,pairwise_concordance,absolute_difference_gt_20,target_centered_residual_scaled,0.513116848028234,150,10255
EGFR,roc_auc,,target_centered_residual_scaled,0.5366486126680567,119,4934
EGFR,average_precision,,target_centered_residual_scaled,0.2842471621079932,119,4934
EGFR,pairwise_concordance,exact_non_ties,two_way_residual,0.5145932642001848,154,22053
EGFR,pairwise_concordance,absolute_difference_gt_5,two_way_residual,0.5186590714087431,154,17830
EGFR,pairwise_concordance,absolute_difference_gt_10,two_way_residual,0.5205838705468376,154,14503
EGFR,pairwise_concordance,absolute_difference_gt_20,two_way_residual,0.5346495214852905,150,10255
EGFR,roc_auc,,two_way_residual,0.5585444533868741,119,4934
EGFR,average_precision,,two_way_residual,0.2922507358039506,119,4934
EGFR,pairwise_concordance,exact_non_ties,docking_target_prior,0.4807058115499425,154,22053
EGFR,pairwise_concordance,absolute_difference_gt_5,docking_target_prior,0.47516182923088923,154,17830
EGFR,pairwise_concordance,absolute_difference_gt_10,docking_target_prior,0.48058303975489375,154,14503
EGFR,pairwise_concordance,absolute_difference_gt_20,docking_target_prior,0.4859751672294639,150,10255
EGFR,roc_auc,,docking_target_prior,0.45091510683960667,119,4934
EGFR,average_precision,,docking_target_prior,0.22830205403839,119,4934
FGFR1,pairwise_concordance,exact_non_ties,absolute_vina,0.517074528102592,154,22433
FGFR1,pairwise_concordance,absolute_difference_gt_5,absolute_vina,0.522586940060685,154,18239
FGFR1,pairwise_concordance,absolute_difference_gt_10,absolute_vina,0.5273115912133518,154,14951
FGFR1,pairwise_concordance,absolute_difference_gt_20,absolute_vina,0.5444158414441921,151,10606
FGFR1,roc_auc,,absolute_vina,0.5525669050958355,123,5038
FGFR1,average_precision,,absolute_vina,0.2796579555958835,123,5038
FGFR1,pairwise_concordance,exact_non_ties,target_centered_unscaled,0.5224525605352549,154,22433
FGFR1,pairwise_concordance,absolute_difference_gt_5,target_centered_unscaled,0.5275059743429917,154,18239
FGFR1,pairwise_concordance,absolute_difference_gt_10,target_centered_unscaled,0.5285916773175954,154,14951
FGFR1,pairwise_concordance,absolute_difference_gt_20,target_centered_unscaled,0.5371711685081361,151,10606
FGFR1,roc_auc,,target_centered_unscaled,0.5774227445031833,123,5038
FGFR1,average_precision,,target_centered_unscaled,0.31099762613443943,123,5038
FGFR1,pairwise_concordance,exact_non_ties,column_standardized,0.5225479357215184,154,22433
FGFR1,pairwise_concordance,absolute_difference_gt_5,column_standardized,0.5274545189755055,154,18239
FGFR1,pairwise_concordance,absolute_difference_gt_10,column_standardized,0.5284177333887917,154,14951
