evaluation_identity,representation,experimental_margin_name,experimental_margin_percentage_points,pairwise_concordance,evaluated_pairs
ZTWJDVNPCLUQPU-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6597222222222222,144
ZZAALKZEEDABCI-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6477272727272727,132
AHJRHEGDXFFMBM-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.20192307692307693,52
AJLPDJZYNSSQJO-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.6079545454545454,176
ANERBUIPYRATIP-VLIAUNLRSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.4107142857142857,140
AQJWACKPYCXBCF-SFHVURJKSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5652173913043478,161
ASKIKAANLSSJGL-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.7426470588235294,136
ASUBFYXRDNJNOB-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.41517857142857145,112
AXWDQRXGOKDXJT-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5625,136
BAVKHKJJAGWXBX-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5972222222222222,180
BBQOARXEMKNYLC-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.55,150
BSBQPLUISHJULY-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.4025974025974026,154
BURBAFXROHRDAV-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.7045454545454546,88
BVFBTDPKGZCIBA-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.7103448275862069,145
CCZQCOZJIRYKNS-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.4823008849557522,113
CNJVEOVFYHCDGZ-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.37209302325581395,86
COKWOGHRTHBMJL-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5596590909090909,176
CXEXTPDLKDYOMC-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.4647887323943662,71
CYGVOJDKMSFPSA-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5241935483870968,124
DANPUZSWWCDWEM-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.4176829268292683,164
DIJIJDANNOSBAG-LLVKDONJSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.29194630872483224,149
DJNZZLZKAXGMMC-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5876623376623377,154
DKXHSOUZPMHNIZ-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.593167701863354,161
DKXUHTCPDJKABE-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.37777777777777777,90
DTRYLKVJZPTTIX-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.46484375,128
DUACVOORSOOZRH-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5371621621621622,148
DWBXNQKRJAOIHK-NRFANRHFSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.75,154
FAICIPSJBXCWEZ-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.698019801980198,101
FBHNLBFMQWTPTN-WBVHZDCISA-N,absolute_vina,absolute_difference_gt_5,5.0,0.4411764705882353,102
FISKNRRMNMXILF-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5201342281879194,149
FLUPOKVTJQLXSE-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.3050314465408805,159
FMTCKHIVPRUMEG-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.29646017699115046,113
FOHZGCHKLPIBBX-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5679012345679012,81
FTHCHPDGJBUELK-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5145348837209303,172
FUWKNYZEQAGYBA-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.3888888888888889,99
GALNGZPXDPAWDR-QGZVFWFLSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5476190476190477,168
GBRORGYPYNNDGL-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.6395348837209303,172
GFMMXOIFOQCCGU-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5897435897435898,39
GIWGYHXKKYZEQA-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.608843537414966,147
GVVAOKGDOGVPSI-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.7214765100671141,149
GWTAEVKZCDFFEX-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.721830985915493,142
HABRRQSUPGOZTD-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.328125,128
HCRQPXYLXXLKPT-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5166666666666667,150
HEKAIDKUDLCBRU-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.30689655172413793,145
HESLKTSGTIBHJU-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5625,152
HNQXYQNMPSACKT-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.630057803468208,173
HVNQYDHDQBJAAH-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.6966292134831461,89
HZJDBCYRQSJNLZ-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.3368055555555556,144
IAUZTOZLTFSMIE-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.6129943502824858,177
IBAYIPZJRQHHLX-OAHLLOKOSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.6005747126436781,174
IBCXZJCWDGCXQT-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.375,144
IFPPYSWJNWHOLQ-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.6242038216560509,157
IHKGTVZWLMITRF-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5288461538461539,104
IJMSMJUUYYSKBT-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.8070175438596491,114
INZKYFAYQUYDOC-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.36176470588235293,170
ISXAVIPPPMJTPN-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.6880733944954128,109
IYWBGQMZDRCNAW-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.3385416666666667,96
JIJYWPGTRDMEFZ-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.6839080459770115,87
JIQRMBNAYWCUEG-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.46153846153846156,104
JMBATVPHKFZTAF-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.6769662921348315,178
JOAWBRMGMMCJGS-ZBFHGGJFSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.6225165562913907,151
JONFDFIXMPXTRH-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.4103448275862069,145
JONPLOXVIREWEK-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.41150442477876104,113
KCAJXIDMCNPGHZ-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.775,20
KCJAPLFLYYZXFD-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.4666666666666667,150
KFAFRWFUXQYYSW-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5471014492753623,138
KFMQOHDPKOQCMU-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.40492957746478875,142
KJUCPVIVNLPLEE-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.42196531791907516,173
KKVSVOHZYJFTQM-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5748031496062992,127
KPILPRJNCZJVNG-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.42696629213483145,178
KTEIFNKAUNYNJU-GFCCVEGCSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.45058139534883723,172
LIHQCVPFINJLRH-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.46875,112
LOAIUSJMQXSEBK-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.48322147651006714,149
LVHOFIUXRMSCFN-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5064102564102564,156
MAOSUPNJVJGJEU-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.54,100
MDEAKINSCUXXNF-UHFFFAOYSA-N,absolute_vina,absolute_difference_gt_5,5.0,0.5641025641025641,156
