dataset,target,family,molecular_weight_raw_slope,molecular_weight_residual_slope,molecular_weight_residual_correlation,heavy_atoms_raw_slope,heavy_atoms_residual_slope,heavy_atoms_residual_correlation,rotatable_bonds_raw_slope,rotatable_bonds_residual_slope,rotatable_bonds_residual_correlation,imputed_cells,imputed_fraction,conditional_mw_slope_per_100_da,conditional_rotatable_bond_slope,residual_pc1_loading
Docking-44,8ef6,Opioid GPCR,-0.41522184817741087,-0.2256193485423599,-0.5906910293655382,-0.0981560216768698,-0.03999767708460529,-0.6164959528197088,-0.00698190367080509,-0.030618036986237482,-0.21280836839267467,0,0.0,-0.5991856220817384,0.12161807845974613,-0.21601045045470674
Docking-44,8fhs,Ion channel,-0.49827183058820235,-0.30866933095315163,-0.6520872891760666,-0.1103881000349339,-0.052229755442669154,-0.6495935021408245,-0.016869257922995262,-0.040505391238427654,-0.2271707488598117,2,0.00015809026954390957,-0.7000131848174778,0.13337080081859676,-0.2288747937914852
Docking-44,8pjk,Serotonin GPCR,-0.3767872550532454,-0.18718475541819438,-0.5320631844150008,-0.09237305684782819,-0.03421471225556353,-0.5725547876208877,-0.010672701365737496,-0.03430883468116994,-0.25889640770438427,17,0.0013437672911232313,-0.5340085435949744,0.10393867553159934,-0.22190879615229558
Docking-44,8st0,Ion channel,0.2064099664772542,0.396012466112305,0.364927306800814,0.028631454954102617,0.08678979954636731,0.470844623298909,0.06126315521047649,0.03762702189504386,0.09205018695719251,1007,0.07959845071535847,0.16841778709443614,0.025116552867845473,0.1577519738382333
Docking-44,8wty,Transporter,-0.3428016859968826,-0.15319918636183183,-0.31974311400287586,-0.09236418266870207,-0.03420583807643765,-0.4202971088014237,-0.009290243421603022,-0.0329263767370353,-0.18243829658963398,24,0.001897083234526915,-0.4867821361115832,0.09518518405599687,-0.16698652199634292
Docking-44,8xvk,Peptide GPCR,-0.18452180714719704,0.005080692487853986,0.011560258604841911,-0.051211010159884204,0.006947334432380397,0.09306240477711303,0.014461155120125153,-0.009174978195307215,-0.05542133776504801,1,7.904513477195479e-05,-0.30561318922974445,0.08005326752305718,-0.026159788892666763
Docking-44,8yn3,Histamine GPCR,0.0487903422645265,0.23839284189957713,0.42678071583708177,-0.016553239053655935,0.04160510553860857,0.43850003272004595,0.0633798446736223,0.039743711358189784,0.18888928418262327,237,0.018733696940953285,-0.06971221757023485,0.07834180237659102,0.18628156855845104
Docking-44,9eo4,Transporter,-0.11202586482746009,0.0775766348075906,0.15747996104026077,-0.04786850436094658,0.010289840231318003,0.12297431704793396,0.04539292250789572,0.021756789192463426,0.11725098238457017,133,0.010513002924669987,-0.2675478650132647,0.10281527944001878,0.05369998047437617
Docking-44,V1A,Peptide GPCR,-0.37584200075094143,-0.18623950111589063,-0.44947095155905853,-0.08670579358697271,-0.028547448994708065,-0.40560991339901925,0.0011778623904198714,-0.022458270925012496,-0.14389094688528847,0,0.0,-0.5591514949847296,0.12118553549426163,-0.16995145649520443
DOCKSTRING-58,PPARD,Nuclear receptor,-0.6129240214067951,-0.22045847101080268,-0.36586131212252787,-0.09498621892269678,-0.032608671452375705,-0.38578136828260906,-0.07833604543988887,-0.06710761331966486,-0.34787569161335646,0,0.0,-0.822937271478573,0.09956544749279805,-0.08353936252227644
DOCKSTRING-58,ABL1,Kinase,-0.15214400299675002,0.24032154739924189,0.32163768233352275,-0.029146881161885716,0.033230666308435394,0.31705288486723915,0.06050432098812331,0.07173275310834733,0.2998846970401934,0,0.0,-0.5142613090128583,0.17167665185914552,0.13655110996564213
DOCKSTRING-58,ADAM17,Protease,-0.421251626026904,-0.028786075630911605,-0.05557581654783523,-0.06555068789663683,-0.003173140426315683,-0.04367280934856123,-0.02738153821330414,-0.01615310609307991,-0.09741414621161221,0,0.0,-0.6681728145362575,0.11706317873269784,0.028480652337247444
DOCKSTRING-58,ADRB1,GPCR,-0.6309476570448234,-0.23848210664883088,-0.41546016853433554,-0.0980543024261207,-0.035676754955799445,-0.44307514314832,-0.05800624236304455,-0.04677781024282063,-0.25455174240781503,0,0.0,-0.9348924567327175,0.144097574718219,-0.09816264646234318
DOCKSTRING-58,ADRB2,GPCR,-0.6494185801525906,-0.2569530297565984,-0.42192419324702385,-0.09970812425124316,-0.037330576780922345,-0.43698228710370507,-0.07069263614942778,-0.059464204029203944,-0.30499933223780096,0,0.0,-0.9196567113891049,0.12811753761719807,-0.07466673078398874
