calibration_ligands,repetition,calibration_vs_full_map_spearman,panel_overlap_with_full_source,panel_jaccard_with_full_source,calibration_panel_index_lexicographic,top5pct_on_both_experimental_maps,DAVIS_mean_nearest_distance,DAVIS_oracle_mean_nearest_distance,DAVIS_absolute_loss_vs_oracle,DAVIS_fraction_all_panels_no_worse,DAVIS_exact_rank_best_is_1,DAVIS_median_headroom_captured,PKIS2_mean_nearest_distance,PKIS2_oracle_mean_nearest_distance,PKIS2_absolute_loss_vs_oracle,PKIS2_fraction_all_panels_no_worse,PKIS2_exact_rank_best_is_1,PKIS2_median_headroom_captured
200,81,0.910502667699,6,0.6,181251,False,0.289796072468,0.250758185607,0.0390378868608,0.0386800334169,7870,0.598684387403,0.437291528772,0.385165064644,0.052126464128,0.374411518994,76186,0.111735959561
200,82,0.946841684133,5,0.454545454545,97007,False,0.333989534432,0.250758185607,0.0832313488245,0.366366897636,74551,0.144368652435,0.415694909499,0.385165064644,0.0305298448551,0.0588775861222,11978,0.47975440501
200,83,0.928567217268,7,0.777777777778,118538,False,0.280522534374,0.250758185607,0.029764348767,0.0139957737481,2847,0.694017816548,0.415108107997,0.385165064644,0.0299430433532,0.0546759054499,11125,0.489753830096
200,84,0.926626130168,7,0.777777777778,102236,True,0.27447867627,0.250758185607,0.0237204906631,0.00606418005799,1233,0.756149627783,0.413788092333,0.385165064644,0.0286230276894,0.0455304928989,9264,0.512247633705
200,85,0.894065625071,7,0.777777777778,110239,True,0.275925274141,0.250758185607,0.0251670885343,0.00760233918129,1544,0.741278374302,0.413191801195,0.385165064644,0.0280267365513,0.0417661801563,8496,0.522408767487
200,86,0.913029449971,5,0.454545454545,96525,False,0.300446573465,0.250758185607,0.0496883878581,0.0888643176569,18082,0.489195563188,0.421950357016,0.385165064644,0.0367852923722,0.121155830753,24651,0.373158088162
200,87,0.901596732028,5,0.454545454545,88265,False,0.357230167445,0.250758185607,0.106471981838,0.585060690943,119054,-0.0945487077204,0.45400783337,0.385165064644,0.0688427687266,0.677173325471,137798,-0.173119200145
200,88,0.8823711584,6,0.6,108461,False,0.298793663541,0.250758185607,0.0480354779339,0.0793749078579,16151,0.506187737,0.418930089689,0.385165064644,0.0337650250454,0.0878618113912,17876,0.424625129018
200,89,0.921247323392,6,0.6,84369,False,0.338781796985,0.250758185607,0.0880236113779,0.41230035874,83896,0.0951034401757,0.43513911819,0.385165064644,0.0499740535463,0.332910708143,67741,0.148414237129
200,90,0.883022938648,6,0.6,108790,False,0.328422929966,0.250758185607,0.0776647443594,0.314320114011,63960,0.201594221251,0.422679639494,0.385165064644,0.0375145748506,0.130301243304,26512,0.360730707719
200,91,0.890780808117,4,0.333333333333,101792,False,0.327360806628,0.250758185607,0.0766026210214,0.304260651629,61914,0.212513016102,0.432211188596,0.385165064644,0.0470461239522,0.278141432011,56598,0.198307791485
200,92,0.9027111078,3,0.230769230769,181761,False,0.338352345705,0.250758185607,0.0875941600979,0.40793159369,83010,0.099518266832,0.449277112895,0.385165064644,0.0641120482516,0.598447098138,121777,-0.0925050830427
200,93,0.859617160091,4,0.333333333333,145926,False,0.320334087627,0.250758185607,0.0695759020199,0.240272249251,48890,0.284748791842,0.417189595792,0.385165064644,0.0320245311487,0.0712565728046,14499,0.454284116385
200,94,0.905240481644,6,0.6,97017,False,0.287082548076,0.250758185607,0.0363243624685,0.0294559929235,5993,0.626579844646,0.415595168508,0.385165064644,0.0304301038642,0.0581257064229,11825,0.48145404716
200,95,0.897718445187,6,0.6,77768,False,0.388740963029,0.250758185607,0.137982777422,0.821519484987,167170,-0.418484638947,0.45191677131,0.385165064644,0.0667517066664,0.643540223107,130951,-0.137486335619
