scheme,repetition,raw_pr,residual_pr,pr_increase,residual_to_raw_ratio,raw_pc1_fraction,residual_pc1_fraction,raw_mean_squared_correlation,residual_mean_squared_correlation,n_ligands,n_targets
global,61,1.513288400222251,6.920231313853205,5.406942913630954,4.572975853668644,0.8094487184461813,0.3326521984029894,0.6527366809054272,0.1241348840255176,12651,43
within_exact_heavy_atom_count,61,1.644905785649435,9.51864656673819,7.873740781088754,5.786742711820469,0.775868563945073,0.2690539209413503,0.5986027339267501,0.08374878467806184,12651,43
global,62,1.5107710789507496,6.929009427494643,5.418238348543893,4.586405924785727,0.8101639649226511,0.33220198996042827,0.6538639755538436,0.12394745855898012,12651,43
within_exact_heavy_atom_count,62,1.6547137233130225,9.390003475665482,7.735289752352459,5.674699703864832,0.7734357619236027,0.2727609995460922,0.594913527425998,0.08522233400211184,12651,43
global,63,1.5058733812736433,7.0203319294922,5.514458548218557,4.661966946752533,0.8115626179153406,0.3298012375938361,0.6560680386344068,0.12202539312774117,12651,43
within_exact_heavy_atom_count,63,1.6405563584047271,9.478844181100401,7.838287822695674,5.777822951670862,0.7769299371027398,0.26992500816721793,0.6002528673204421,0.0842004301731431,12651,43
global,64,1.508456352585853,6.97783101206822,5.469374659482368,4.62580902662948,0.8108178011303865,0.33101280655150905,0.6549038655798812,0.12291365163551571,12651,43
within_exact_heavy_atom_count,64,1.6559665743817913,9.420600979725062,7.764634405343271,5.688883535129312,0.773143675787904,0.2724553453020313,0.5944454214581569,0.08486820556389484,12651,43
global,65,1.506259706548899,6.886558496154566,5.380298789605668,4.571959580551259,0.8114179956180843,0.33401591620202087,0.6558936637339102,0.12485827947439747,12651,43
within_exact_heavy_atom_count,65,1.6487801385750358,9.485431863304353,7.836651724729316,5.752999833866371,0.7749162638399223,0.27001346892262496,0.5971401709717074,0.08412541669331883,12651,43
global,66,1.503683928799435,6.996460882896112,5.492776954096676,4.652880002835567,0.8121807871752272,0.3300622467894948,0.6570579804584438,0.12252296356453975,12651,43
within_exact_heavy_atom_count,66,1.6535562106208228,9.463193317077378,7.809637106456555,5.722934156271863,0.7737421215565957,0.2706986850230789,0.5953466422969416,0.0843790642817652,12651,43
global,67,1.510063658367047,7.0212900744698645,5.511226416102818,4.649664956550605,0.8103963858518213,0.32893877408499494,0.6541814457345361,0.12200549208509086,12651,43
within_exact_heavy_atom_count,67,1.647384113686188,9.449764041028592,7.802379927342404,5.736223848780351,0.7752441027908351,0.27094082211985315,0.5976663756506495,0.08453281356148243,12651,43
global,68,1.503157299852982,6.985482191992426,5.482324892139443,4.647206378650889,0.8123117856656648,0.330820950755881,0.6572965213859181,0.12275294613466042,12651,43
within_exact_heavy_atom_count,68,1.6487144191189769,9.466526051761864,7.817811632642887,5.741762152368686,0.7749074128655213,0.2708046247528476,0.5971649226665477,0.08434097598432376,12651,43
global,69,1.5082449955816015,6.952767059520662,5.44452206393906,4.609839303222467,0.8108715803564194,0.33152001172102497,0.6549989766720093,0.12344257237678319,12651,43
within_exact_heavy_atom_count,69,1.6430314559564136,9.46821074743758,7.825179291481166,5.762647278062065,0.776326872474293,0.2705403364950977,0.5993127664533616,0.08432173257242791,12651,43
global,70,1.5113692382343442,6.9207492267873105,5.409379988552966,4.579125373011078,0.8099933549166226,0.33288968225586074,0.653595770614484,0.12412381263428017,12651,43
within_exact_heavy_atom_count,70,1.6472880134056451,9.525051455671104,7.877763442265459,5.782262347662429,0.7752980350157261,0.26936432780108255,0.597702631610629,0.08367645971237732,12651,43
global,71,1.5102555722551994,6.9672014828864075,5.456945910631208,4.613259908376029,0.8103294499423145,0.3312398705352277,0.6540952908575154,0.12313750023224027,12651,43
within_exact_heavy_atom_count,71,1.651607067979154,9.44468574725476,7.793078679275605,5.718482277271272,0.7742138485073052,0.2713135716548569,0.5960773389066907,0.0845910679314041,12651,43
global,72,1.5082971446265425,6.931071055528877,5.422773910902334,4.595295482870535,0.8108489776391155,0.3323799030262155,0.6549755070160972,0.12390350865070995,12651,43
within_exact_heavy_atom_count,72,1.6493248644720238,9.495707255908904,7.84638239143688,5.757329838684411,0.774771609441964,0.26966546722485374,0.5969350886457442,0.08400861929639766,12651,43
global,73,1.5101929001259444,6.941723733361427,5.431530833235483,4.596580829364589,0.8103225230778649,0.33208539330901415,0.6541234235140544,0.12367683017618285,12651,43
within_exact_heavy_atom_count,73,1.6517165200072115,9.422736380523665,7.7710198605164535,5.704814516526434,0.7741885607678402,0.27213068430111725,0.5960362617161024,0.08484357678296318,12651,43
global,74,1.5086361354139821,6.976908910994321,5.468272775580338,4.624646558051455,0.8107698799157924,0.3307371766307141,0.6548229839081715,0.12293304325999738,12651,43
within_exact_heavy_atom_count,74,1.6517061511222328,9.400866033982226,7.749159882859993,5.691609265724969,0.7741653039099554,0.2721708271960219,0.5960401529104592,0.08509634934180711,12651,43
global,75,1.5089296926137188,6.939363869146892,5.430434176533174,4.598864945872165,0.810685451720875,0.332161521383142,0.6546909582348813,0.12372698574886437,12651,43
within_exact_heavy_atom_count,75,1.6502664626002312,9.449909897790691,7.79964343519046,5.726293366527612,0.7745158558551608,0.2712390642466752,0.5965809082885544,0.08453114132728162,12651,43
global,76,1.506519965385113,6.970409055316272,5.4638890899311585,4.626828197085606,0.8113731103022097,0.33118373354128045,0.6557762416189526,0.12306987963505214,12651,43
within_exact_heavy_atom_count,76,1.6493390105513834,9.46898082921677,7.819641818665387,5.741076133311875,0.7747925102769222,0.27119325236527647,0.5969297646326125,0.08431293860486133,12651,43
global,77,1.5083811245230887,6.94894461301275,5.440563488489661,4.606889134342508,0.8108407816816264,0.3318221753211471,0.6549377153096517,0.1235235721964963,12651,43
within_exact_heavy_atom_count,77,1.6479313871680927,9.484978424887094,7.837047037719001,5.755687705655433,0.7751175661918491,0.27010515806964175,0.5974599852134833,0.08413057662583495,12651,43
global,78,1.5086329093536122,7.0439376635425655,5.535304754188953,4.6690865749180865,0.8108038057433549,0.32870812665771976,0.6548244350958167,0.12153666928762316,12651,43
within_exact_heavy_atom_count,78,1.6537914667479343,9.39669333319543,7.742901866447495,5.681909431830225,0.7736734710165913,0.2726435010150364,0.5952585657258365,0.08514471014347129,12651,43
global,79,1.512498164894584,6.82022267814938,5.307724513254796,4.509243605346606,0.8096308630034837,0.33627088174551806,0.6530901561850497,0.12630427336745167,12651,43
within_exact_heavy_atom_count,79,1.6550801587194313,9.435364254890386,7.780284096170955,5.700850321467642,0.773344068908623,0.271728900867658,0.5947765418959983,0.08469816027685148,12651,43
global,80,1.509661727292239,6.966309194620072,5.456647467327833,4.614483542028313,0.8104842026801765,0.33077854303532855,0.6543619534828429,0.12315632212223447,12651,43
