analysis,dataset,support,transform,deleted_target,estimate
geometry_concordance,PKIS1,full_experimental_panel,raw,ROCK1,-0.1860681114551084
geometry_concordance,PKIS1,full_experimental_panel,raw,SRC,-0.14282285741714068
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,ABL1,0.10742794057647541
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,AKT1,0.13116135070919435
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,AKT2,0.1591979264165887
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,CDK2,0.20125998992008065
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,CSF1R,0.1678546571627427
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,EGFR,0.17574339405284758
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,FGFR1,0.22876856985144126
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,IGF1R,0.152437180502556
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,JAK2,0.1662778697770418
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,KDR,0.14066767465860275
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,KIT,0.1352245182038544
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,LCK,0.25134278925768594
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,MAP2K1,0.14775001799985601
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,MAPK1,0.15487316101471188
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,MAPK14,0.19995200038399694
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,MAPKAPK2,0.153843569251446
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,MET,0.20924952600379199
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,PLK1,0.1633450932392541
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,ROCK1,0.1420188638490892
geometry_concordance,PKIS1,full_experimental_panel,center_then_correlation,SRC,0.27728418172654623
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,ABL1,0.12557659538723692
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,AKT1,0.17960256317949455
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,AKT2,0.1974200206398349
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,CDK2,0.21710946312429502
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,CSF1R,0.20224158206734347
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,EGFR,0.20821033431732547
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,FGFR1,0.18263133894928843
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,IGF1R,0.17021143830849356
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,JAK2,0.2042935656514748
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,KDR,0.18029615763073895
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,KIT,0.1602635178918569
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,LCK,0.3098471212230302
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,MAP2K1,0.21132550939592487
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,MAPK1,0.18292413660690715
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,MAPK14,0.22157582739338091
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,MAPKAPK2,0.18806009551923586
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,MET,0.22189742482060143
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,PLK1,0.195843233254134
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,ROCK1,0.1642354861161111
geometry_concordance,PKIS1,full_experimental_panel,z_before_center,SRC,0.335764513883889
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,ABL1,0.11719826241390069
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,AKT1,0.13097415220678235
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,AKT2,0.1588187294501644
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,CDK2,0.22192142462860298
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,CSF1R,0.17516499868001056
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,EGFR,0.19599203206374352
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,FGFR1,0.17769697842417262
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,IGF1R,0.17198742410060724
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,JAK2,0.19286725706194352
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,KDR,0.15262197902416783
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,KIT,0.14068207454340367
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,LCK,0.27544579643362854
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,MAP2K1,0.15941632466940267
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,MAPK1,0.17144022847817217
