dataset,support_seed,partition,partition_seed,ligands,targets,chemical_groups,mean_squared_offdiagonal_target_correlation_before,mean_squared_offdiagonal_target_correlation_after,absolute_mean_squared_offdiagonal_target_correlation_reduction,relative_mean_squared_offdiagonal_target_correlation_reduction,mean_out_of_fold_target_r2,median_out_of_fold_target_r2,seed,groups,minimum_fold_ligands,median_fold_ligands,maximum_fold_ligands
DOCKSTRING-58,2701,balanced_random_group_partition_5,20560835,15000,58,11846,0.038497673567242742,0.01756365610468693,0.020934017462555812,0.54377357182352815,0.16902271149680526,0.11667342572055445,20560835,11846,3000,3000,3000
DOCKSTRING-58,2701,balanced_random_group_partition_6,20560836,15000,58,11846,0.038500676305592632,0.017573840115281247,0.020926836190311385,0.54354463865019276,0.16896086005872168,0.11676868091714565,20560836,11846,2999,3000,3001
DOCKSTRING-58,2701,balanced_random_group_partition_7,20560837,15000,58,11846,0.038522095484224778,0.017566791079692223,0.020955304404532554,0.5439814252346159,0.16913173920558641,0.11709557743363547,20560837,11846,2998,2999,3005
DOCKSTRING-58,2701,balanced_random_group_partition_8,20560838,15000,58,11846,0.038513503955085973,0.017581241741439931,0.020932262213646042,0.54350448710293975,0.16905670859830549,0.11688184404556179,20560838,11846,3000,3000,3000
DOCKSTRING-58,2701,balanced_random_group_partition_9,20560839,15000,58,11846,0.038520391295818281,0.017567050405267962,0.020953340890550318,0.54395451826121466,0.16896359008319842,0.11682542020536013,20560839,11846,2999,3000,3001
DOCKSTRING-58,2701,balanced_random_group_partition_10,20560840,15000,58,11846,0.038533942857246178,0.017579526023991654,0.020954416833254524,0.54379114306788667,0.16906051737717401,0.11700226944218906,20560840,11846,2998,2999,3006
DOCKSTRING-58,2701,balanced_random_group_partition_11,20560841,15000,58,11846,0.038502304561061518,0.017566701229134885,0.020935603331926633,0.54374935658005796,0.16913736995788287,0.11686282470945386,20560841,11846,3000,3000,3000
DOCKSTRING-58,2701,balanced_random_group_partition_12,20560842,15000,58,11846,0.038525487025461234,0.017579420667262018,0.020946066358199216,0.54369374602211007,0.16906222547874919,0.11656598133313723,20560842,11846,3000,3000,3000
DOCKSTRING-58,3701,deterministic_GroupKFold,,15000,58,11849,0.038550566718933886,0.017527651790069734,0.021022914928864152,0.54533348581199637,0.16828944380103111,0.11765520483215486,,,,,
DOCKSTRING-58,3701,balanced_random_group_partition_1,20660831,15000,58,11849,0.038559427388954473,0.017529368796152897,0.021030058592801576,0.54539343597269641,0.16794251135621649,0.11766235010682868,20660831,11849,3000,3000,3000
